"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","B","D","E","F","I","species","year","ID"
"1",4084110000,155131000,0,3767960000,120446000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",1,"B0-D1-E991-F1-I1-cod-1"
"2",4084110000,174064000,0,3767960000,119733000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",2,"B0-D1-E991-F1-I1-cod-1"
"3",4091070000,105101000,0,3766550000,118964000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",3,"B0-D1-E991-F1-I1-cod-1"
"4",4121050000,28647400,0,3761390000,118124000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",4,"B0-D1-E991-F1-I1-cod-1"
"5",4159100000,141111000,0,3752470000,117204000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",5,"B0-D1-E991-F1-I1-cod-1"
"6",4145440000,53683200,0,3739990000,116196000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",6,"B0-D1-E991-F1-I1-cod-1"
"7",4080160000,73189500,0,3724390000,115090000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",7,"B0-D1-E991-F1-I1-cod-1"
"8",3998210000,110772000,0,3706170000,113875000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",8,"B0-D1-E991-F1-I1-cod-1"
"9",3871450000,140683000,0,3685760000,112542000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",9,"B0-D1-E991-F1-I1-cod-1"
"10",3735490000,169028000,0,3663430000,111084000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",10,"B0-D1-E991-F1-I1-cod-1"
"11",3626360000,83293300,0,3639340000,109504000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",11,"B0-D1-E991-F1-I1-cod-1"
"12",3571760000,52935500,0,3613490000,107805000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",12,"B0-D1-E991-F1-I1-cod-1"
"13",3556820000,95885200,0,3585830000,106073000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",13,"B0-D1-E991-F1-I1-cod-1"
"14",3523510000,94655600,0,3556230000,104416000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",14,"B0-D1-E991-F1-I1-cod-1"
"15",3466280000,39072400,0,3524560000,103030000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",15,"B0-D1-E991-F1-I1-cod-1"
"16",3404540000,71623100,0,3490760000,102177000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",16,"B0-D1-E991-F1-I1-cod-1"
"17",3323450000,76418300,0,3454970000,102106000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",17,"B0-D1-E991-F1-I1-cod-1"
"18",3212850000,102150000,0,3417690000,102938000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",18,"B0-D1-E991-F1-I1-cod-1"
"19",3.098e+09,113287000,0,3379860000,105416000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",19,"B0-D1-E991-F1-I1-cod-1"
"20",2994770000,94402800,0,3342990000,116069000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",20,"B0-D1-E991-F1-I1-cod-1"
"21",2923740000,170622000,0,3309250000,156492000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",21,"B0-D1-E991-F1-I1-cod-1"
"22",2884200000,163675000,0,3283560000,144621000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",22,"B0-D1-E991-F1-I1-cod-1"
"23",2886340000,158976000,0,3282590000,186577000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",23,"B0-D1-E991-F1-I1-cod-1"
"24",2957140000,200777000,0,3319350000,131198000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",24,"B0-D1-E991-F1-I1-cod-1"
"25",3078140000,156616000,0,3394090000,119844000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",25,"B0-D1-E991-F1-I1-cod-1"
"26",3245640000,73143200,0,3502030000,107348000,0,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",26,"B0-D1-E991-F1-I1-cod-1"
"27",3449530000,140818000,0.00432479,3601950000,108043000,0.00421246,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",27,"B0-D1-E991-F1-I1-cod-1"
"28",3610970000,174266000,0.00864957,3662930000,110213000,0.00861727,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",28,"B0-D1-E991-F1-I1-cod-1"
"29",3700960000,127594000,0.0129744,3675200000,115289000,0.0132189,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",29,"B0-D1-E991-F1-I1-cod-1"
