"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","A","B","E","F","I","L","R","X","species","year","ID"
"1",86074.5,42959.8,0,74478.6,30598.9,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",1,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"2",86074.5,52550.7,0,74478.6,29711.5,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",2,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"3",86222.3,21728.7,0,74450.1,29127,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",3,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"4",87331.3,2232.6,0,74253.3,28500.2,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",4,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"5",89575.9,36354.6,0,73798.1,30669,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",5,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"6",89232.2,6702.72,0,73135.6,27095.3,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",6,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"7",84319.2,11521.6,0,72382,26303.7,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",7,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"8",79377.4,23791.1,0,71759.9,25557.4,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",8,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"9",74376.2,36225.9,0,71011.1,34939.8,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",9,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"10",68241.5,49993.8,0,69899.7,26471.9,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",10,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"11",64017.9,14507.6,0,68805.6,23232,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",11,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"12",63405.7,6582.39,0,68572,21785.5,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",12,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"13",65885.1,18710,0,68448.2,21992.5,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",13,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"14",66670.6,18359.8,0,67348.4,33364,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",14,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"15",63583.5,3901.3,0,65568.1,18724.4,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",15,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"16",59875.6,11249.5,0,63835.3,17400.4,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",16,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"17",56751,12609.3,0,63171.9,19305.2,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",17,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"18",52702.8,20971.9,0,62270.6,15010.6,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",18,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"19",48299.3,25125.1,0,60122.6,16984.9,0,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",19,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
