"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","A","B","E","F","I","L","R","X","species","max_grad","version","RunTime","hessian","ID"
"1",23389.1,6589.25,86074.5,0.292345584348442,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,6900.44,-204.576,3.41607e-07,0,-252.573,NA,NA,0.00582123,0.141033,NA,NA,NA,NA,NA,47.5998,0,0,0,0,0,24300,6747.92,89064.3,0.319086323027296,0,0.2,12.5771,47.6316,0.341781,0.211374,0.190635,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.532,0.760619,0.7,0,0,0,0,0,0.0132002,0,4.33491,-1,1.18438,15,-999,-999,3.75732,-1,1.28128,15,-999,-999,6900.44,724.303,8.20694e-10,0,-18.9594,NA,NA,514.204,230.793,NA,NA,NA,NA,NA,-1.79051,0,0.0547305,0.00109461,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",0.000217919,"#V3.24O",0.0166666666666667,FALSE,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"2",23389.1,6589.25,86074.5,0.434248238444603,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,10331.9,-191.624,4.87463e-07,0,-252.573,NA,NA,0.0058482,0.150384,NA,NA,NA,NA,NA,60.5428,0,0,0,0,0,32130.2,7714.33,114608,0.271052631578947,0,0.2,13.7206,53.4785,0.245383,0.205737,0.171906,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.6552,0.760619,0.7,0,0,0,0,0,0.0759306,0,4.18715,-1,1.00209,15,-999,-999,3.58328,-1,1.15239,15,-999,-999,10331.9,699.174,2.44052e-09,0,-15.9668,NA,NA,509.317,205.569,NA,NA,NA,NA,NA,0.193427,0,0.0593899,0.0011878,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E1-F0-I0-L0-R0-X0-fla",12,"A0","B1","E1","F0","I0","L0","R0","X0","fla",0.000257351,"#V3.24O",0.0183333333333333,FALSE,"A0-B1-E1-F0-I0-L0-R0-X0-fla-12"
"3",23389.1,6589.25,86074.5,0.210568751488536,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,5107.21,-204.495,2.73076e-07,0,-252.573,NA,NA,0.00580121,0.133827,NA,NA,NA,NA,NA,47.6883,0,0,0,0,0,28754.8,7442.16,103543,0.229485334595289,0,0.2,13.049,49.7672,0.294824,0.167367,0.192702,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.6385,0.760619,0.7,0,0,0,0,0,-0.000138838,0,4.47517,-1,1.22413,15,-999,-999,3.99958,-1,1.42199,15,-999,-999,5107.21,738.806,1.6667e-09,0,-18.9632,NA,NA,534.016,221.679,NA,NA,NA,NA,NA,2.0226,0,0.05044,0.0010088,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E1-F0-I0-L0-R0-X0-fla",13,"A0","B1","E1","F0","I0","L0","R0","X0","fla",0.00148618,"#V3.24O",0.0227777777777778,FALSE,"A0-B1-E1-F0-I0-L0-R0-X0-fla-13"
"4",23389.1,6589.25,86074.5,0.240019982689414,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,5834.76,-213.109,1.68798e-07,0,-252.573,NA,NA,0.00581033,0.134126,NA,NA,NA,NA,NA,39.0737,0,0,0,0,0,29919.4,7642.89,107446,0.186768237067923,0,0.2,11.7595,50.4801,0.298728,0.187728,0.180744,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.6489,0.760619,0.7,0,0,0,0,0,-0.0611123,0,4.301,-1,1.10347,15,-999,-999,3.34834,-1,0.980658,15,-999,-999,5834.76,720.129,5.42242e-09,0,-18.4352,NA,NA,528.384,212.385,NA,NA,NA,NA,NA,-2.26792,0,0.0613118,0.00122624,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E1-F0-I0-L0-R0-X0-fla",14,"A0","B1","E1","F0","I0","L0","R0","X0","fla",0.00100449,"#V3.24O",0.0191666666666667,FALSE,"A0-B1-E1-F0-I0-L0-R0-X0-fla-14"
"5",23389.1,6589.25,86074.5,0.168448262842073,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,4191.42,-199.16,4.65893e-07,0,-252.573,NA,NA,0.00578644,0.135088,NA,NA,NA,NA,NA,53.0223,0,0,0,0,0,22233,6340.85,81833.7,0.163227374541295,0,0.2,10.5089,46.4861,0.381281,0.177071,0.205933,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.471,0.760619,0.7,0,0,0,0,0,0.000107961,0,4.23605,-1,1.04589,15,-999,-999,3.11613,-1,0.806784,15,-999,-999,4191.42,722.951,6.66916e-10,0,-15.7816,NA,NA,497.172,235.673,NA,NA,NA,NA,NA,5.82069,0,0.065985,0.0013197,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E1-F0-I0-L0-R0-X0-fla",15,"A0","B1","E1","F0","I0","L0","R0","X0","fla",0.000642925,"#V3.24O",0.783333333333333,FALSE,"A0-B1-E1-F0-I0-L0-R0-X0-fla-15"
"6",23389.1,6589.25,86074.5,0.670319316406137,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,16113,-199.576,4.5846e-07,0,-252.573,NA,NA,0.00586659,0.145195,NA,NA,NA,NA,NA,52.596,0,0,0,0,0,31350.4,8076.99,113237,0.446635816914966,0,0.2,13.4266,50.1525,0.288521,0.201574,0.185302,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.7156,0.760619,0.7,0,0,0,0,0,-0.0938868,0,4.27758,-1,1.13667,15,-999,-999,3.45295,-1,1.1681,15,-999,-999,16113,745.928,1.47831e-09,0,-13.0697,NA,NA,524.583,231.021,NA,NA,NA,NA,NA,3.33348,0,0.059182,0.00118364,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E1-F0-I0-L0-R0-X0-fla",16,"A0","B1","E1","F0","I0","L0","R0","X0","fla",0.00114937,"#V3.24O",0.0172222222222222,FALSE,"A0-B1-E1-F0-I0-L0-R0-X0-fla-16"
"7",23389.1,6589.25,86074.5,0.211128731505847,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,5043.69,-209.051,4.12232e-07,0,-252.573,NA,NA,0.00580475,0.140411,NA,NA,NA,NA,NA,43.1258,0,0,0,0,0,27549.8,7755.66,101259,0.204574408200753,0,0.2,12.3277,47.4908,0.348681,0.200238,0.203908,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.65,0.760619,0.7,0,0,0,0,0,0.00167841,0,4.33507,-1,1.09337,15,-999,-999,3.37141,-1,0.96742,15,-999,-999,5043.69,756.221,7.16724e-10,0,-16.9482,NA,NA,526.689,242.618,NA,NA,NA,NA,NA,3.79912,0,0.0608767,0.00121753,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E1-F0-I0-L0-R0-X0-fla",17,"A0","B1","E1","F0","I0","L0","R0","X0","fla",0.000370492,"#V3.24O",0.783333333333333,FALSE,"A0-B1-E1-F0-I0-L0-R0-X0-fla-17"
"8",23389.1,6589.25,86074.5,0.301054319223463,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,7221.15,-196.792,2.72172e-07,0,-252.573,NA,NA,0.00583216,0.13824,NA,NA,NA,NA,NA,55.387,0,0,0,0,0,28729.9,7738.37,104573,0.307415872165855,0,0.2,12.9918,48.4815,0.327841,0.138682,0.208136,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.6534,0.760619,0.7,0,0,0,0,0,-0.0338548,0,4.2799,-1,1.12171,15,-999,-999,3.74453,-1,1.36497,15,-999,-999,7221.15,722.484,1.52595e-09,0,-14.5527,NA,NA,506.158,233.762,NA,NA,NA,NA,NA,-2.9397,0,0.0552621,0.00110524,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E1-F0-I0-L0-R0-X0-fla",18,"A0","B1","E1","F0","I0","L0","R0","X0","fla",0.000797332,"#V3.24O",0.0197222222222222,FALSE,"A0-B1-E1-F0-I0-L0-R0-X0-fla-18"
"9",23389.1,6589.25,86074.5,0.213502256765941,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,5194.01,-175.07,2.24354e-07,0,-252.573,NA,NA,0.00581148,0.135711,NA,NA,NA,NA,NA,77.1117,0,0,0,0,0,25435.4,6481,92622.9,0.233835261042356,0,0.2,16.5248,52.2713,0.227704,0.269353,0.147093,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.5193,0.760619,0.7,0,0,0,0,0,-0.0124302,0,4.35922,-1,1.06071,15,-999,-999,4.09195,-1,1.40829,15,-999,-999,5194.01,738.059,1.14979e-08,0,-15.7445,NA,NA,521.354,224.652,NA,NA,NA,NA,NA,7.74498,0,0.0515146,0.00103029,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E1-F0-I0-L0-R0-X0-fla",19,"A0","B1","E1","F0","I0","L0","R0","X0","fla",0.0002535,"#V3.24O",0.02,FALSE,"A0-B1-E1-F0-I0-L0-R0-X0-fla-19"
"10",23389.1,6589.25,86074.5,0.124051838814051,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,3195.21,-190.047,3.20596e-07,0,-252.573,NA,NA,0.00576679,0.13742,NA,NA,NA,NA,NA,62.1327,0,0,0,0,0,20918.2,5855.21,76866,0.137834673327609,0,0.2,12.8953,47.9526,0.345361,0.209794,0.189515,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.3581,0.760619,0.7,0,0,0,0,0,-0.019634,0,4.3121,-1,1.17192,15,-999,-999,3.01967,-1,0.734668,15,-999,-999,3195.21,758.178,2.67238e-09,0,-13.9222,NA,NA,532.385,238.468,NA,NA,NA,NA,NA,1.17979,0,0.0663383,0.00132677,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E1-F0-I0-L0-R0-X0-fla",20,"A0","B1","E1","F0","I0","L0","R0","X0","fla",0.000495017,"#V3.24O",0.75,FALSE,"A0-B1-E1-F0-I0-L0-R0-X0-fla-20"
