"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","A","B","E","F","I","L","R","X","species","year","ID"
"1",86074.5,16339.9,0,89064.3,36132.4,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",1,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"2",86074.5,30708.7,0,89064.3,35423.3,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",2,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"3",85650.6,20232.4,0,89035.4,39443.7,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",3,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"4",83370.1,43545.8,0,88844,34280,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",4,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"5",80303.2,16706.9,0,88514.6,33510.6,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",5,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"6",77648.4,23495.9,0,88400.6,33119.6,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",6,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"7",76389.8,29299.8,0,88136.8,31977.1,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",7,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"8",74908.9,15496.6,0,87366,32015.4,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",8,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"9",72297.3,28644.6,0,86332.2,30228.7,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",9,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"10",70265.5,34499.6,0,85128.4,35153,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",10,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"11",67935.6,25795.9,0,83826.4,29229,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",11,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"12",66111.8,24490.3,0,82510.6,26975,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",12,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"13",66041.7,22109.7,0,81535.7,38213.8,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",13,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"14",66206.7,15900.1,0,80492.3,29214.2,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",14,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"15",65635,26369.2,0,79082.5,26691.1,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",15,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"16",64365.3,65048.5,0,78426.1,34907.5,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",16,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"17",62334.1,29214.3,0,77992.3,34888.6,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",17,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"18",61592.6,14618.4,0,76940.6,34003.6,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",18,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"19",65404.5,27445.6,0,76379.8,49380.8,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",19,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"20",69630.1,14778.8,0,76653.6,26685.8,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",20,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"21",69821.3,147441,0,77475.6,80980.4,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",21,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"22",68384.2,55426.2,0,79476.6,38893,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",22,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
"23",68913.5,28386.5,0,81793.2,46839.3,0,"A0-B1-E1-F0-I0-L0-R0-X0-fla",11,"A0","B1","E1","F0","I0","L0","R0","X0","fla",23,"A0-B1-E1-F0-I0-L0-R0-X0-fla-11"
