"","X","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","B","D","F","I","species","year","ID","SpawnBio_re","Recruit_0_re","F_re"
"1",1,4084110000,117617000,0,4510520000,129540000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",1,"B1-D102-F1-I0-cos-1",0.10440708012272,0.1013714003928,NA
"2",2,4084110000,137851000,0,4510520000,129081000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",2,"B1-D102-F1-I0-cos-1",0.10440708012272,-0.0636194151656499,NA
"3",3,4079680000,139463000,0,4509480000,128608000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",3,"B1-D102-F1-I0-cos-1",0.105351400109813,-0.0778342642851509,NA
"4",4,4070370000,130254000,0,4505850000,128112000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",4,"B1-D102-F1-I0-cos-1",0.106987816832376,-0.0164447924823806,NA
"5",5,4067420000,139987000,0,4499560000,127593000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",5,"B1-D102-F1-I0-cos-1",0.106244253113767,-0.0885367927021795,NA
"6",6,4068680000,128697000,0,4490750000,127049000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",6,"B1-D102-F1-I0-cos-1",0.103736346923326,-0.0128052712961452,NA
"7",7,4072600000,146890000,0,4479790000,126478000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",7,"B1-D102-F1-I0-cos-1",0.0999828119628738,-0.138961127374226,NA
"8",8,4079710000,135829000,0,4467110000,125881000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",8,"B1-D102-F1-I0-cos-1",0.0949577298386405,-0.0732391462795132,NA
"9",9,4088830000,128132000,0,4453080000,125255000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",9,"B1-D102-F1-I0-cos-1",0.0890841634403974,-0.0224534074235944,NA
"10",10,4104620000,124660000,0,4437960000,124600000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",10,"B1-D102-F1-I0-cos-1",0.081210928173619,-0.000481309160917696,NA
"11",11,4117820000,121200000,0,4421960000,123911000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",11,"B1-D102-F1-I0-cos-1",0.0738594693308595,0.0223679867986799,NA
"12",12,4123180000,138403000,0,4405190000,123186000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",12,"B1-D102-F1-I0-cos-1",0.0683962378552476,-0.109947038720259,NA
"13",13,4118050000,143761000,0,4387720000,122422000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",13,"B1-D102-F1-I0-cos-1",0.0654848775512682,-0.14843385897427,NA
"14",14,4107330000,129825000,0,4369570000,121613000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",14,"B1-D102-F1-I0-cos-1",0.063846829935749,-0.0632543808973618,NA
"15",15,4102870000,135239000,0,4350710000,120755000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",15,"B1-D102-F1-I0-cos-1",0.0604064959406464,-0.107099283490709,NA
"16",16,4103820000,133672000,0,4331110000,119844000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",16,"B1-D102-F1-I0-cos-1",0.0553849827721489,-0.103447244000239,NA
"17",17,4105180000,122527000,0,4310700000,118876000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",17,"B1-D102-F1-I0-cos-1",0.0500635782109432,-0.0297975140173186,NA
"18",18,4108590000,145389000,0,4289420000,117845000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",18,"B1-D102-F1-I0-cos-1",0.0440126661458067,-0.189450371073465,NA
"19",19,4108830000,111523000,0,4267160000,116750000,0,"B1-D102-F1-I0-cos",1,"B1","D102","F1","I0","cos",19,"B1-D102-F1-I0-cos-1",0.0385340839119652,0.0468692556692341,NA
