"","X","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","D","E","F","species","year","ID","SpawnBio_re","Recruit_0_re","F_re"
"1",1,4082630000,123476000,0,4550340000,146643000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",1,"D100-E0-F1-cod-1",0.11456095703015,0.1876235057825,NA
"2",2,4082630000,150703000,0,4550340000,146200000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",2,"D100-E0-F1-cod-1",0.11456095703015,-0.0298799625753966,NA
"3",3,4080140000,123755000,0,4550190000,145755000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",3,"D100-E0-F1-cod-1",0.115204380241854,0.17777059512747,NA
"4",4,4078580000,127131000,0,4549520000,145305000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",4,"D100-E0-F1-cod-1",0.115466657513154,0.142954904783255,NA
"5",5,4085010000,130274000,0,4548060000,144850000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",5,"D100-E0-F1-cod-1",0.113353455683095,0.111887253020557,NA
"6",6,4084400000,137899000,0,4545600000,144388000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",6,"D100-E0-F1-cod-1",0.112917441974341,0.0470561787975257,NA
"7",7,4080980000,136456000,0,4542010000,143917000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",7,"D100-E0-F1-cod-1",0.112970413969194,0.0546769654687225,NA
"8",8,4078200000,124778000,0,4537240000,143437000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",8,"D100-E0-F1-cod-1",0.112559462507969,0.149537578739842,NA
"9",9,4079950000,138066000,0,4531310000,142947000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",9,"D100-E0-F1-cod-1",0.110628806725573,0.0353526574247099,NA
"10",10,4081870000,131663000,0,4524250000,142447000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",10,"D100-E0-F1-cod-1",0.108376797889203,0.0819060783971199,NA
"11",11,4081550000,129068000,0,4516150000,141934000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",11,"D100-E0-F1-cod-1",0.106479156202913,0.099683887563145,NA
"12",12,4084430000,127066000,0,4507060000,141409000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",12,"D100-E0-F1-cod-1",0.103473434481678,0.112878346685974,NA
"13",13,4085350000,132225000,0,4497090000,140869000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",13,"D100-E0-F1-cod-1",0.100784510507056,0.0653734165248629,NA
"14",14,4082860000,141721000,0,4486310000,140312000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",14,"D100-E0-F1-cod-1",0.0988155361682742,-0.00994206927695966,NA
"15",15,4077730000,124089000,0,4474770000,139735000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",15,"D100-E0-F1-cod-1",0.0973678983159748,0.126086921483774,NA
"16",16,4075980000,120072000,0,4462550000,139133000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",16,"D100-E0-F1-cod-1",0.0948409952943832,0.158746418815377,NA
"17",17,4077560000,133641000,0,4449680000,138500000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",17,"D100-E0-F1-cod-1",0.0912604596866754,0.0363586025246743,NA
"18",18,4071600000,142400000,0,4436200000,137829000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",18,"D100-E0-F1-cod-1",0.0895471067884861,-0.0320997191011236,NA
"19",19,4061070000,135953000,0,4422110000,137112000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",19,"D100-E0-F1-cod-1",0.0889026783581667,0.00852500496495112,NA
"20",20,4056220000,132321000,0,4407420000,136339000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",20,"D100-E0-F1-cod-1",0.0865830748825261,0.0303655504417288,NA
"21",21,4059520000,124096000,0,4392100000,135503000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",21,"D100-E0-F1-cod-1",0.0819259419832887,0.0919207710159876,NA
"22",22,4065920000,119541000,0,4376090000,134600000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",22,"D100-E0-F1-cod-1",0.0762853179600189,0.12597351536293,NA
"23",23,4070500000,140636000,0,4359340000,133639000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",23,"D100-E0-F1-cod-1",0.0709593416042255,-0.0497525526892119,NA
"24",24,4066780000,128752000,0,4341740000,132616000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",24,"D100-E0-F1-cod-1",0.0676112305066908,0.0300111842922828,NA
"25",25,4058960000,120381000,0,4323200000,131605000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",25,"D100-E0-F1-cod-1",0.0651004198119715,0.0932373048903066,NA
"26",26,4055770000,116815000,0,4303610000,169731000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",26,"D100-E0-F1-cod-1",0.0611080016864862,0.452989770149382,NA
"27",27,4048370000,121538000,0.005,4282880000,144459000,0.00472896,"D100-E0-F1-cod",1,"D100","E0","F1","cod",27,"D100-E0-F1-cod-1",0.0579270175403928,0.188591222498313,-0.054208
"28",28,4013190000,124969000,0.01,4252700000,123140000,0.00941745,"D100-E0-F1-cod",1,"D100","E0","F1","cod",28,"D100-E0-F1-cod-1",0.0596807028822458,-0.0146356296361498,-0.0582549999999999
"29",29,3952390000,138854000,0.014,4226170000,132386000,0.0130298,"D100-E0-F1-cod",1,"D100","E0","F1","cod",29,"D100-E0-F1-cod-1",0.0692694799855277,-0.0465813012228672,-0.0693000000000001
"30",30,3877060000,132219000,0.019,4185520000,88347900,0.0175143,"D100-E0-F1-cod",1,"D100","E0","F1","cod",30,"D100-E0-F1-cod-1",0.0795602853708738,-0.33180632133052,-0.0781947368421052
"31",31,3792890000,132085000,0.024,4120440000,110937000,0.0220265,"D100-E0-F1-cod",1,"D100","E0","F1","cod",31,"D100-E0-F1-cod-1",0.0863589505627635,-0.160109020706363,-0.0822291666666666
"32",32,3708360000,124694000,0.029,4024980000,170489000,0.0267466,"D100-E0-F1-cod",1,"D100","E0","F1","cod",32,"D100-E0-F1-cod-1",0.0853800601883312,0.367259050154779,-0.0777034482758622
"33",33,3620740000,129813000,0.034,3886760000,129991000,0.0318336,"D100-E0-F1-cod",1,"D100","E0","F1","cod",33,"D100-E0-F1-cod-1",0.0734711688770804,0.00137120319228429,-0.0637176470588237
"34",34,3528830000,127587000,0.039,3745250000,158861000,0.0368991,"D100-E0-F1-cod",1,"D100","E0","F1","cod",34,"D100-E0-F1-cod-1",0.0613291090814803,0.245119016827733,-0.0538692307692308
"35",35,3430450000,130431000,0.043,3623910000,133471000,0.0407617,"D100-E0-F1-cod",1,"D100","E0","F1","cod",35,"D100-E0-F1-cod-1",0.0563949336092932,0.0233073425796015,-0.052053488372093
"36",36,3332220000,128547000,0.048,3513570000,132963000,0.0454814,"D100-E0-F1-cod",1,"D100","E0","F1","cod",36,"D100-E0-F1-cod-1",0.054423177341232,0.0343531937734836,-0.0524708333333334
"37",37,3231110000,121188000,0.053,3420510000,120852000,0.0499252,"D100-E0-F1-cod",1,"D100","E0","F1","cod",37,"D100-E0-F1-cod-1",0.0586176267598441,-0.00277255173779582,-0.0580150943396226
