"","X","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","D","E","F","species","year","ID","SpawnBio_re","Recruit_0_re","F_re"
"1",1,4084470000,138168000,0,4495480000,145804000,0,"D100-E0-F1-cos",1,"D100","E0","F1","cos",1,"D100-E0-F1-cos-1",0.100627498794213,0.0552660529210816,NA
"2",2,4084470000,130812000,0,4495480000,145382000,0,"D100-E0-F1-cos",1,"D100","E0","F1","cos",2,"D100-E0-F1-cos-1",0.100627498794213,0.111381218848424,NA
"3",3,4086280000,128231000,0,4495410000,144960000,0,"D100-E0-F1-cos",1,"D100","E0","F1","cos",3,"D100-E0-F1-cos-1",0.10012285012285,0.130459873197589,NA
"4",4,4090330000,126346000,0,4495020000,144537000,0,"D100-E0-F1-cos",1,"D100","E0","F1","cos",4,"D100-E0-F1-cos-1",0.0989382274779785,0.143977648679024,NA
"5",5,4091880000,118007000,0,4494040000,144113000,0,"D100-E0-F1-cos",1,"D100","E0","F1","cos",5,"D100-E0-F1-cos-1",0.0982824520758185,0.221224164668198,NA
"6",6,4089110000,137098000,0,4492210000,143685000,0,"D100-E0-F1-cos",1,"D100","E0","F1","cos",6,"D100-E0-F1-cos-1",0.0985789083688138,0.0480459233540971,NA
"7",7,4078880000,134559000,0,4489380000,143254000,0,"D100-E0-F1-cos",1,"D100","E0","F1","cos",7,"D100-E0-F1-cos-1",0.100640371866787,0.0646184944894061,NA
"8",8,4064150000,132298000,0,4485470000,142818000,0,"D100-E0-F1-cos",1,"D100","E0","F1","cos",8,"D100-E0-F1-cos-1",0.103667433534687,0.0795174530227214,NA
"9",9,4054930000,125834000,0,4480460000,142378000,0,"D100-E0-F1-cos",1,"D100","E0","F1","cos",9,"D100-E0-F1-cos-1",0.104941392329831,0.131474800133509,NA
"10",10,4049820000,124440000,0,4474370000,141934000,0,"D100-E0-F1-cos",1,"D100","E0","F1","cos",10,"D100-E0-F1-cos-1",0.104831819685813,0.140581806493089,NA
