"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","B","D","E","F","species","year","ID"
"1",89074.5,42959.8,0,85861.7,34633.1,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1913,"B2-D100-E0-F0-fla-1"
"2",89074.5,52550.7,0,85861.7,34281.2,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1914,"B2-D100-E0-F0-fla-1"
"3",89626.1,21736.3,0,85841.5,33934.1,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1915,"B2-D100-E0-F0-fla-1"
"4",91662.4,2235.04,0,85766.6,33579.2,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1916,"B2-D100-E0-F0-fla-1"
"5",92617,36352.2,0,85612.7,33213.3,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1917,"B2-D100-E0-F0-fla-1"
"6",89459.1,6686.31,0,85369.9,32833.2,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1918,"B2-D100-E0-F0-fla-1"
"7",85367.7,11501.2,0,85037.5,32436.6,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1919,"B2-D100-E0-F0-fla-1"
"8",80611.2,23752.9,0,84618.9,32028.8,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1920,"B2-D100-E0-F0-fla-1"
"9",74617.6,36123.5,0,84119.5,34907,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1921,"B2-D100-E0-F0-fla-1"
"10",69358.9,49905.6,0,83545.5,31942.9,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1922,"B2-D100-E0-F0-fla-1"
"11",66660.8,14516.8,0,83170.9,30745.1,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1923,"B2-D100-E0-F0-fla-1"
"12",67604.4,6602.57,0,82873.1,30286.8,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1924,"B2-D100-E0-F0-fla-1"
"13",68709.5,18724.5,0,82376.9,30152.9,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1925,"B2-D100-E0-F0-fla-1"
"14",67051.7,18307.1,0,81659.5,29275.4,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1926,"B2-D100-E0-F0-fla-1"
"15",64034.8,3890.19,0,80809,28711.6,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1927,"B2-D100-E0-F0-fla-1"
"16",61065.9,11231.5,0,79854.2,28104.1,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1928,"B2-D100-E0-F0-fla-1"
"17",57256.8,12572.2,0,78800.4,27448.2,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1929,"B2-D100-E0-F0-fla-1"
"18",52904.8,20892.9,0,77666.2,27400.8,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1930,"B2-D100-E0-F0-fla-1"
"19",48968.1,25056.5,0,76462.6,26025.2,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1931,"B2-D100-E0-F0-fla-1"
"20",46334.6,18258.5,0,75245.7,25492.3,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1932,"B2-D100-E0-F0-fla-1"
"21",45491.5,51688.6,0,73978.3,69988.7,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1933,"B2-D100-E0-F0-fla-1"
"22",45509.9,48271.1,0,72631.4,24802.7,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1934,"B2-D100-E0-F0-fla-1"
"23",48287.4,46242.2,0,74893.4,27375.7,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1935,"B2-D100-E0-F0-fla-1"
"24",54224.6,70095.2,0,78215.1,52012.3,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1936,"B2-D100-E0-F0-fla-1"
"25",61483.1,45493.6,0,79640.5,28303.9,0,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1937,"B2-D100-E0-F0-fla-1"
"26",70769.1,11991.5,0.114,81652.8,29345.8,0.104506,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1938,"B2-D100-E0-F0-fla-1"
"27",73068.3,37210,0.114,76408.8,27854.3,0.113284,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1939,"B2-D100-E0-F0-fla-1"
"28",70808.6,53213.3,0.114,70223.4,27130.8,0.116998,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1940,"B2-D100-E0-F0-fla-1"
"29",66310.6,30442.8,0.114,64079.1,25063.1,0.121255,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1941,"B2-D100-E0-F0-fla-1"
"30",63775.9,24299.6,0.114,58360.7,70639.4,0.129554,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1942,"B2-D100-E0-F0-fla-1"
"31",61889.5,15275.1,0.114,52989.1,21372.1,0.133617,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1943,"B2-D100-E0-F0-fla-1"
"32",58780,64866.5,0.114,51910.3,42289,0.123976,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1944,"B2-D100-E0-F0-fla-1"
"33",54130.2,36746.5,0.114,52296.1,19508.3,0.115535,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1945,"B2-D100-E0-F0-fla-1"
"34",52519.9,12347.3,0.114,52424,22827.2,0.116398,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1946,"B2-D100-E0-F0-fla-1"
"35",53315.5,13097.5,0.114,51253.1,20917.1,0.121538,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1947,"B2-D100-E0-F0-fla-1"
"36",51923.8,31766.3,0.114,48396.8,31321.7,0.122815,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1948,"B2-D100-E0-F0-fla-1"
"37",47937.8,10604.8,0.114,45005.3,22061.9,0.120645,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1949,"B2-D100-E0-F0-fla-1"
"38",44426.1,25565.5,0.114,42587.5,21746.7,0.117499,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1950,"B2-D100-E0-F0-fla-1"
"39",41023.3,22527.7,0.114,40862.1,20531.2,0.112691,"B2-D100-E0-F0-fla",1,"B2","D100","E0","F0","fla",1951,"B2-D100-E0-F0-fla-1"
