"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","A","B","E","F","I","L","R","X","species","max_grad","version","RunTime","hessian","ID"
"1",23389.1,6589.25,86074.5,0.48875567095946,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,2805.16,-184.22,2.26555e-07,0,-252.573,NA,NA,0.00473086,0.00567827,NA,NA,NA,NA,NA,68.0929,0,0,0,0,0,20245.5,5873,74478.6,0.545012929888585,0,0.2,11.5756,46.1385,0.394379,0.161891,0.210229,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.3709,0.760619,0.7,0,0,0,0,0,-0.086846,0,4.59979,-1,1.3792,15,-999,-999,3.36985,-1,0.961634,15,-999,-999,2805.16,875.163,3.05512e-12,0,-17.0532,NA,NA,526.525,363.531,NA,NA,NA,NA,NA,2.10188,0,0.0573236,0.00114647,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E0-F0-I0-L0-R0-X0-fla",1,"A0","B1","E0","F0","I0","L0","R0","X0","fla",0.000580566,"#V3.24O",0.683333333333333,FALSE,"A0-B1-E0-F0-I0-L0-R0-X0-fla-1"
"2",23389.1,6589.25,86074.5,0.621725365816821,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,3467.22,-194.193,2.06361e-07,0,-252.573,NA,NA,0.00476303,0.00551884,NA,NA,NA,NA,NA,58.1193,0,0,0,0,0,23021.9,7123.15,86967.9,0.769803571202708,0,0.2,13.8764,45.8818,0.406295,0.191173,0.205851,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.5112,0.760619,0.7,0,0,0,0,0,-0.0612181,0,4.24108,-1,1.06894,15,-999,-999,3.46811,-1,1.00712,15,-999,-999,3467.22,876.99,2.16477e-12,0,-13.3026,NA,NA,513.259,370.64,NA,NA,NA,NA,NA,6.33134,0,0.0605381,0.00121076,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E0-F0-I0-L0-R0-X0-fla",2,"A0","B1","E0","F0","I0","L0","R0","X0","fla",2.8149e-05,"#V3.24O",0.65,FALSE,"A0-B1-E0-F0-I0-L0-R0-X0-fla-2"
"3",23389.1,6589.25,86074.5,0.497543407164724,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,2847.4,-191.837,2.17742e-07,0,-252.573,NA,NA,0.00473197,0.00538754,NA,NA,NA,NA,NA,60.4755,0,0,0,0,0,26989.6,6794.4,96371.1,0.747327777725895,0,0.2,12.0222,49.6785,0.286255,0.177733,0.179705,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.6113,0.760619,0.7,0,0,0,0,0,-0.406057,0,4.54098,-1,1.28459,15,-999,-999,3.06184,-1,0.748185,15,-999,-999,2847.4,909.219,1.87777e-12,0,-15.4511,NA,NA,554.84,364.544,NA,NA,NA,NA,NA,5.22192,0,0.0632217,0.00126443,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E0-F0-I0-L0-R0-X0-fla",3,"A0","B1","E0","F0","I0","L0","R0","X0","fla",6.44111e-05,"#V3.24O",0.733333333333333,FALSE,"A0-B1-E0-F0-I0-L0-R0-X0-fla-3"
"4",23389.1,6589.25,86074.5,0.475966749734242,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,2763.73,-195.756,2.17718e-07,0,-252.573,NA,NA,0.00472705,0.00530215,NA,NA,NA,NA,NA,56.5569,0,0,0,0,0,21877.5,7085.52,83131.2,0.541742450487903,0,0.2,11.8894,44.7623,0.46346,0.222651,0.217774,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4837,0.760619,0.7,0,0,0,0,0,0.0323372,0,4.51324,-1,1.23035,15,-999,-999,3.32365,-1,0.84338,15,-999,-999,2763.73,885.171,3.00128e-12,0,-14.6726,NA,NA,537.277,364.897,NA,NA,NA,NA,NA,-2.39194,0,0.0599336,0.00119867,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E0-F0-I0-L0-R0-X0-fla",4,"A0","B1","E0","F0","I0","L0","R0","X0","fla",9.26208e-05,"#V3.24O",0.933333333333333,FALSE,"A0-B1-E0-F0-I0-L0-R0-X0-fla-4"
"5",23389.1,6589.25,86074.5,0.927229318787794,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,5315.44,-195.867,2.09351e-07,0,-252.573,NA,NA,0.00476821,0.00558384,NA,NA,NA,NA,NA,56.4457,0,0,0,0,0,28632.6,7228.68,102430,1.10600410036122,0,0.2,12.3246,50.1291,0.286302,0.188408,0.186475,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.6354,0.760619,0.7,0,0,0,0,0,-0.295266,0,4.48342,-1,1.25262,15,-999,-999,3.29755,-1,1.00189,15,-999,-999,5315.44,933.011,1.55284e-12,0,-16.8761,NA,NA,590.798,354.069,NA,NA,NA,NA,NA,4.95906,0,0.0594795,0.00118959,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E0-F0-I0-L0-R0-X0-fla",5,"A0","B1","E0","F0","I0","L0","R0","X0","fla",3.61581e-05,"#V3.24O",0.716666666666667,FALSE,"A0-B1-E0-F0-I0-L0-R0-X0-fla-5"
"6",23389.1,6589.25,86074.5,0.568709664302436,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,3243.7,-206.591,1.99193e-07,0,-252.573,NA,NA,0.00473341,0.00491873,NA,NA,NA,NA,NA,45.7226,0,0,0,0,0,23545.2,6162.66,87423.5,0.526881216148976,0,0.2,19.7253,52.5191,0.205314,0.260758,0.154495,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4552,0.760619,0.7,0,0,0,0,0,-0.0633755,0,4.11336,-1,0.920269,15,-999,-999,3.13291,-1,0.956134,15,-999,-999,3243.7,874.711,2.76238e-12,0,-16.8568,NA,NA,548.773,343.623,NA,NA,NA,NA,NA,-0.896627,0,0.0667285,0.00133457,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E0-F0-I0-L0-R0-X0-fla",6,"A0","B1","E0","F0","I0","L0","R0","X0","fla",3.4687e-05,"#V3.24O",0.75,FALSE,"A0-B1-E0-F0-I0-L0-R0-X0-fla-6"
"7",23389.1,6589.25,86074.5,0.889573567084328,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,4975.57,-189.151,2.3666e-07,0,-252.573,NA,NA,0.00478166,0.00630961,NA,NA,NA,NA,NA,63.1606,0,0,0,0,0,21489.4,6524.97,80628.5,0.88381527623607,0,0.2,12.5569,45.7387,0.400962,0.216763,0.213095,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4509,0.760619,0.7,0,0,0,0,0,-0.122747,0,4.26188,-1,1.06405,15,-999,-999,3.43736,-1,1.13567,15,-999,-999,4975.57,916.204,2.83465e-12,0,-10.153,NA,NA,592.834,322.145,NA,NA,NA,NA,NA,11.3166,0,0.0600372,0.00120074,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E0-F0-I0-L0-R0-X0-fla",7,"A0","B1","E0","F0","I0","L0","R0","X0","fla",0.00105128,"#V3.24O",0.666666666666667,FALSE,"A0-B1-E0-F0-I0-L0-R0-X0-fla-7"
"8",23389.1,6589.25,86074.5,0.74747340966256,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,4237.38,-202.095,1.83704e-07,0,-252.573,NA,NA,0.0047579,0.00582021,NA,NA,NA,NA,NA,50.2174,0,0,0,0,0,25525.2,6491.75,91846.9,0.692945543072221,0,0.2,11.7244,50.2595,0.287034,0.217487,0.186944,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.5195,0.760619,0.7,0,0,0,0,0,0.0307775,0,4.16733,-1,0.911122,15,-999,-999,3.87146,-1,1.29648,15,-999,-999,4237.38,872.956,2.06669e-12,0,-15.8872,NA,NA,551.39,337.913,NA,NA,NA,NA,NA,-0.517139,0,0.0565269,0.00113054,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E0-F0-I0-L0-R0-X0-fla",8,"A0","B1","E0","F0","I0","L0","R0","X0","fla",6.05176e-05,"#V3.24O",0.6,FALSE,"A0-B1-E0-F0-I0-L0-R0-X0-fla-8"
"9",23389.1,6589.25,86074.5,0.674257765075603,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,3874.96,-198.646,2.06011e-07,0,-252.573,NA,NA,0.0047446,0.00544283,NA,NA,NA,NA,NA,53.667,0,0,0,0,0,22049.3,6678.78,82926.8,0.790686484948171,0,0.2,14.3402,46.3107,0.37197,0.233159,0.199871,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4722,0.760619,0.7,0,0,0,0,0,-0.0404698,0,4.28957,-1,1.06034,15,-999,-999,3.94375,-1,1.52801,15,-999,-999,3874.96,914.953,2.35003e-12,0,-14.5264,NA,NA,550.759,373.529,NA,NA,NA,NA,NA,5.13764,0,0.0528997,0.00105799,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E0-F0-I0-L0-R0-X0-fla",9,"A0","B1","E0","F0","I0","L0","R0","X0","fla",6.80112e-05,"#V3.24O",0.6,FALSE,"A0-B1-E0-F0-I0-L0-R0-X0-fla-9"
"10",23389.1,6589.25,86074.5,0.781678662089237,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,4.3,-1,1.1,15,-999,-999,3.5,-1,1.1,15,-999,-999,4515.25,-191.297,2.26925e-07,0,-252.573,NA,NA,0.00475086,0.00523,NA,NA,NA,NA,NA,61.0161,0,0,0,0,0,22123.8,6339.99,82527.8,0.987445442626606,0,0.2,16.7299,48.0451,0.306191,0.231065,0.19958,1e-05,3,2.8095,-2.1571,1,0,0,0,0,1,10.4313,0.760619,0.7,0,0,0,0,0,-0.196256,0,4.27456,-1,1.07189,15,-999,-999,3.56126,-1,1.13917,15,-999,-999,4515.25,937.389,2.82881e-12,0,-16.8955,NA,NA,589.9,363.318,NA,NA,NA,NA,NA,1.00693,0,0.0585284,0.00117057,0,0,NA,NA,NA,NA,NA,NA,NA,"A0-B1-E0-F0-I0-L0-R0-X0-fla",10,"A0","B1","E0","F0","I0","L0","R0","X0","fla",0.000125751,"#V3.24O",0.583333333333333,FALSE,"A0-B1-E0-F0-I0-L0-R0-X0-fla-10"
