"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_3P_1_CPUE_om","AgeSel_3P_2_CPUE_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","ForeRecr_100_em","Impl_err_100_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_3P_1_CPUE_em","AgeSel_3P_2_CPUE_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","B","D","E","F","I","species","max_grad","version","RunTime","hessian","ID"
"1",1417880000,164218000,4084180000,0.341743018182352,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,104724000,3038.32,0.020631,0,-20.9225,NA,NA,2256.63,741.206,NA,NA,NA,NA,NA,61.1375,0,0,0,0,0,1299930000,151014000,3745580000,0.396790350226133,0,0.2,19.9967,130.923,0.20197,0.102523,0.104346,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6258,0.65,0.4,0,0,0,0,0,0,0,-0.0913135,0,50.0422,-3,5.02445,15,-999,999,41.0162,-4,5.08739,14,-99,99,0.1,100,0.1,100,0.1,100,170325000,3192.19,5.55404e-14,0,-15.5555,NA,NA,2935.39,312.431,NA,NA,NA,NA,NA,-40.0825,0,0,0.00093017,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D2-E991-F1-I0-cod",1,"B0","D2","E991","F1","I0","cod",2.42984e-05,"#V3.24O",0.833333333333333,FALSE,"B0-D2-E991-F1-I0-cod-1"
"2",1417880000,164218000,4084180000,0.405657928886582,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,121297000,3083.97,0.021073,0,-20.9225,NA,NA,2282.58,768.274,NA,NA,NA,NA,NA,53.7653,0,0,0,0,0,1466740000,169104000,4225830000,0.431747136065578,0,0.2,20.1035,132.862,0.194547,0.100276,0.0964188,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7423,0.65,0.4,0,0,0,0,0,0,0,-0.0138306,0,51.2916,-3,5.11517,15,-999,999,41.3001,-4,5.12567,14,-99,99,0.1,100,0.1,100,0.1,100,206308000,3237.13,2.27046e-13,0,-13.8077,NA,NA,2928.55,361.989,NA,NA,NA,NA,NA,-39.5962,0,0,0.000907187,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D2-E991-F1-I0-cod",2,"B0","D2","E991","F1","I0","cod",9.63962e-05,"#V3.24O",0.883333333333333,FALSE,"B0-D2-E991-F1-I0-cod-2"
"3",1417880000,164218000,4084180000,0.335996454612676,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,101954000,3015.51,0.021054,0,-20.9225,NA,NA,2251.01,729.311,NA,NA,NA,NA,NA,55.8427,0,0,0,0,0,1478590000,171388000,4260310000,0.512474444347947,0,0.2,19.9578,131.923,0.199046,0.101877,0.0862046,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.755,0.65,0.4,0,0,0,0,0,0,0,-0.178928,0,51.1958,-3,5.14855,15,-999,999,41.5343,-4,5.12643,14,-99,99,0.1,100,0.1,100,0.1,100,248852000,3184.75,1.30319e-13,0,-14.8895,NA,NA,2899.83,335.931,NA,NA,NA,NA,NA,-36.1196,0,0,0.000901645,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D2-E991-F1-I0-cod",3,"B0","D2","E991","F1","I0","cod",0.000383928,"#V3.24O",0.966666666666667,FALSE,"B0-D2-E991-F1-I0-cod-3"
"4",1417880000,164218000,4084180000,0.348924386290516,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,109227000,3019.58,0.0202746,0,-20.9225,NA,NA,2259.15,728.972,NA,NA,NA,NA,NA,52.1152,0,0,0,0,0,1423470000,163656000,4098360000,0.355837456933993,0,0.2,20.2814,133.257,0.194548,0.0975939,0.0986917,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7006,0.65,0.4,0,0,0,0,0,0,0,0.0322602,0,51.9366,-3,5.23474,15,-999,999,42.617,-4,5.27183,14,-99,99,0.1,100,0.1,100,0.1,100,168375000,3231.22,1.76291e-13,0,-13.9353,NA,NA,2958.77,330.166,NA,NA,NA,NA,NA,-43.7848,0,0,0.000864682,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D2-E991-F1-I0-cod",4,"B0","D2","E991","F1","I0","cod",1.80993e-07,"#V3.24O",0.833333333333333,FALSE,"B0-D2-E991-F1-I0-cod-4"
"5",1417880000,164218000,4084180000,0.449936094883183,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,136083000,3075.95,0.0204011,0,-20.9225,NA,NA,2274.91,769.426,NA,NA,NA,NA,NA,52.2571,0,0,0,0,0,1461960000,170154000,4212970000,0.5323441657548,0,0.2,19.958,131.837,0.201955,0.100621,0.104316,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7236,0.65,0.4,0,0,0,0,0,0,0,-0.000175838,0,52.0797,-3,5.25052,15,-999,999,41.8328,-4,5.17286,14,-99,99,0.1,100,0.1,100,0.1,100,259354000,3324,3.33877e-13,0,-14.7983,NA,NA,3053.7,316.505,NA,NA,NA,NA,NA,-31.4025,0,0,0.000878134,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D2-E991-F1-I0-cod",5,"B0","D2","E991","F1","I0","cod",0.00338586,"#V3.24O",0.833333333333333,FALSE,"B0-D2-E991-F1-I0-cod-5"
"6",1417880000,164218000,4084180000,0.389466184154469,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,119192000,3031.38,0.0200201,0,-20.9225,NA,NA,2261.36,747.723,NA,NA,NA,NA,NA,42.958,0,0,0,0,0,1468870000,170762000,4233150000,0.356956403623779,0,0.2,19.7446,132.307,0.200226,0.0976062,0.104458,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7283,0.65,0.4,0,0,0,0,0,0,0,0.00223337,0,52.7865,-3,5.30906,15,-999,999,42.0514,-4,5.25323,14,-99,99,0.1,100,0.1,100,0.1,100,176080000,3281.16,1.83708e-13,0,-14.9716,NA,NA,3001.01,340.85,NA,NA,NA,NA,NA,-45.722,0,0,0.0008573,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D2-E991-F1-I0-cod",6,"B0","D2","E991","F1","I0","cod",2.76037e-07,"#V3.24O",0.816666666666667,FALSE,"B0-D2-E991-F1-I0-cod-6"
"7",1417880000,164218000,4084180000,0.50107732763982,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,150367000,3161.11,0.0211562,0,-20.9225,NA,NA,2311.51,812.096,NA,NA,NA,NA,NA,58.162,0,0,0,0,0,1380650000,160082000,3978180000,0.481986737653902,0,0.2,19.9911,132.45,0.198871,0.101562,0.0970828,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6703,0.65,0.4,0,0,0,0,0,0,0,-0.0863946,0,51.9502,-3,5.22087,15,-999,999,41.9874,-4,5.1582,14,-99,99,0.1,100,0.1,100,0.1,100,219142000,3311.95,2.15696e-13,0,-9.19244,NA,NA,3022.68,333.356,NA,NA,NA,NA,NA,-34.8964,0,0,0.000884227,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D2-E991-F1-I0-cod",7,"B0","D2","E991","F1","I0","cod",1.12694e-07,"#V3.24O",0.766666666666667,FALSE,"B0-D2-E991-F1-I0-cod-7"
"8",1417880000,164218000,4084180000,0.453672463015832,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,137897000,3045.45,0.0192554,0,-20.9225,NA,NA,2273.04,746.502,NA,NA,NA,NA,NA,46.5654,0,0,0,0,0,1476080000,171115000,4251770000,0.466370476295754,0,0.2,20.0431,130.663,0.201323,0.101242,0.101024,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7629,0.65,0.4,0,0,0,0,0,0,0,-0.112538,0,50.2182,-3,5.09081,15,-999,999,42.4739,-4,5.29767,14,-99,99,0.1,100,0.1,100,0.1,100,229064000,3204.15,1.28267e-13,0,-14.3433,NA,NA,2929.96,327.851,NA,NA,NA,NA,NA,-39.3153,0,0,0.000885433,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D2-E991-F1-I0-cod",8,"B0","D2","E991","F1","I0","cod",3.00239e-05,"#V3.24O",0.816666666666667,FALSE,"B0-D2-E991-F1-I0-cod-8"
"9",1417880000,164218000,4084180000,0.395122154263524,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,121759000,3041.5,0.0198729,0,-20.9225,NA,NA,2260.97,751.79,NA,NA,NA,NA,NA,49.3887,0,0,0,0,0,1412900000,164401000,4072010000,0.510595504431472,0,0.2,19.871,130.763,0.201906,0.101053,0.103344,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7151,0.65,0.4,0,0,0,0,0,0,0,-0.0704016,0,51.1865,-3,5.17489,15,-999,999,41.4451,-4,5.14971,14,-99,99,0.1,100,0.1,100,0.1,100,240889000,3265.79,1.00102e-13,0,-15.2511,NA,NA,3006.97,311.45,NA,NA,NA,NA,NA,-37.3745,0,0,0.00089471,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D2-E991-F1-I0-cod",9,"B0","D2","E991","F1","I0","cod",8.92193e-05,"#V3.24O",0.783333333333333,FALSE,"B0-D2-E991-F1-I0-cod-9"
"10",1417880000,164218000,4084180000,0.406563863492794,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,125134000,3078.14,0.0219983,0,-20.9225,NA,NA,2279.68,764.852,NA,NA,NA,NA,NA,54.2586,0,0,0,0,0,1358480000,156381000,3908650000,0.421096798127231,0,0.2,20.0747,131.437,0.20066,0.0957474,0.104795,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6631,0.65,0.4,0,0,0,0,0,0,0,-0.135613,0,48.4221,-3,4.8616,15,-999,999,42.0268,-4,5.20801,14,-99,99,0.1,100,0.1,100,0.1,100,189742000,3267.86,2.37673e-13,0,-16.5857,NA,NA,3000.02,326.501,NA,NA,NA,NA,NA,-42.0721,0,0,0.000940259,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D2-E991-F1-I0-cod",10,"B0","D2","E991","F1","I0","cod",3.18247e-05,"#V3.24O",0.75,FALSE,"B0-D2-E991-F1-I0-cod-10"
