"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_3P_1_CPUE_om","AgeSel_3P_2_CPUE_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","ForeRecr_100_em","Impl_err_100_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_3P_1_CPUE_em","AgeSel_3P_2_CPUE_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","B","D","E","F","I","species","max_grad","version","RunTime","hessian","ID"
"1",215250000,36.6158,592658000,0.0955547718920524,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,46.43,-1,4.24,15,-999,999,38.68,-1,4.24,15,-999,999,0.1,100,0.1,100,0.1,100,18.4807,5983.16,1.15617e-06,0,-6.43775,NA,NA,2239.98,3686.16,NA,NA,NA,NA,NA,63.206,0,0,0,0,0,231443000,34.0216,635775000,0.073407416145649,1,0.08,12.8567,70.4778,0.0398775,0.275627,0.0100002,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.58578,0.44,0.5,0,0,0,0,0,0,0,0.169409,0,46.1699,-1,4.33392,15,-999,999,35.1712,-1,3.54441,15,-999,999,0.1,100,0.1,100,0.1,100,7.49343,246.81,3.38691e-08,0,-4.41708,NA,NA,119.296,184.402,NA,NA,NA,NA,NA,-52.4721,0,0,0.00104076,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D5-E991-F1-I11-cod",1,"B1","D5","E991","F1","I11","cod",3.89222e-06,"#V3.24O",0.0208333333333333,FALSE,"B1-D5-E991-F1-I11-cod-1"
"2",215250000,36.6158,592658000,0.103672269673235,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,46.43,-1,4.24,15,-999,999,38.68,-1,4.24,15,-999,999,0.1,100,0.1,100,0.1,100,20.4391,5920.96,1.48492e-06,0,-6.43775,NA,NA,2238.29,3633.9,NA,NA,NA,NA,NA,54.9667,0,0,0,0,0,317795000,41.7256,862987000,0.124811845369629,1,0.08,18.0124,72.8216,0.0374228,0.146165,0.0100004,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.73379,0.44,0.5,0,0,0,0,0,0,0,-0.377493,0,44.187,-1,3.98199,15,-999,999,39.5282,-1,4.54087,15,-999,999,0.1,100,0.1,100,0.1,100,15.124,248.769,1.11238e-08,0,-4.05359,NA,NA,112.601,191.164,NA,NA,NA,NA,NA,-50.9443,0,0,0.000901171,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D5-E991-F1-I11-cod",2,"B1","D5","E991","F1","I11","cod",2.14059e-05,"#V3.24O",0.0219444444444444,FALSE,"B1-D5-E991-F1-I11-cod-2"
"3",215250000,36.6158,592658000,0.0975623378069645,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,46.43,-1,4.24,15,-999,999,38.68,-1,4.24,15,-999,999,0.1,100,0.1,100,0.1,100,18.8551,5827.2,1.41161e-06,0,-6.43775,NA,NA,2231.1,3545.15,NA,NA,NA,NA,NA,57.1369,0,0,0,0,0,231133000,45.7319,639285000,0.0996089381105454,1,0.08,11.5121,57.3549,0.0605393,0.264472,0.122347,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.80004,0.44,0.5,0,0,0,0,0,0,0,-0.276505,0,44.4073,-1,4.0302,15,-999,999,27.2342,-1,0.00351882,15,-999,999,0.1,100,0.1,100,0.1,100,13.1314,233.479,2.32024e-08,0,-3.93035,NA,NA,106.904,184.766,NA,NA,NA,NA,NA,-54.2685,0,0,0.00792616,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D5-E991-F1-I11-cod",3,"B1","D5","E991","F1","I11","cod",7.95425e-06,"#V3.24O",0.0247222222222222,FALSE,"B1-D5-E991-F1-I11-cod-3"
"4",215250000,36.6158,592658000,0.109226062923305,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,46.43,-1,4.24,15,-999,999,38.68,-1,4.24,15,-999,999,0.1,100,0.1,100,0.1,100,21.1665,5948.3,1.29712e-06,0,-6.43775,NA,NA,2241.18,3659.96,NA,NA,NA,NA,NA,53.3458,0,0,0,0,0,167059000,47.1646,468365000,0.117962913539654,2,0.08,1.05704,49.9457,0.0875434,0.499987,0.156743,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.73551,0.44,0.5,0,0,0,0,0,0,0,0.114419,0,45.3145,-1,4.1337,15,-999,999,32.4475,-1,2.38502,15,-999,999,0.1,100,0.1,100,0.1,100,16.0418,250.884,3.2523e-08,0,-4.72628,NA,NA,131.371,180.251,NA,NA,NA,NA,NA,-56.0132,0,0,0.00143993,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D5-E991-F1-I11-cod",4,"B1","D5","E991","F1","I11","cod",9.43832e-05,"#V3.24O",0.0255555555555556,FALSE,"B1-D5-E991-F1-I11-cod-4"
"5",215250000,36.6158,592658000,0.103109044339231,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,46.43,-1,4.24,15,-999,999,38.68,-1,4.24,15,-999,999,0.1,100,0.1,100,0.1,100,20.3265,5862.89,1.73499e-06,0,-6.43775,NA,NA,2231.89,3583.78,NA,NA,NA,NA,NA,53.4033,0,0,0,0,0,364345000,34.4707,996748000,0.0469009217976861,1,0.08,22.2712,105.505,0.0172165,0.0448321,0.0100004,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.67604,0.44,0.5,0,0,0,0,0,0,0,0.0190134,0,46.5498,-1,4.31521,15,-999,999,36.411,-1,4.04642,15,-999,999,0.1,100,0.1,100,0.1,100,5.20703,261.385,2.62773e-08,0,-3.80896,NA,NA,120.181,198.696,NA,NA,NA,NA,NA,-53.6844,0,0,0.00093041,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D5-E991-F1-I11-cod",5,"B1","D5","E991","F1","I11","cod",8.57923e-05,"#V3.24O",0.0247222222222222,FALSE,"B1-D5-E991-F1-I11-cod-5"
"6",215250000,36.6158,592658000,0.111747922073101,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,46.43,-1,4.24,15,-999,999,38.68,-1,4.24,15,-999,999,0.1,100,0.1,100,0.1,100,21.8699,5909.62,1.33941e-06,0,-6.43775,NA,NA,2237.99,3634.18,NA,NA,NA,NA,NA,43.6296,0,0,0,0,0,92712700,55.4274,255912000,0.25761980680859,1,0.08,19.4437,38.0473,0.111213,0.0100014,0.309143,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.73962,0.44,0.5,0,0,0,0,0,0,0,0.0863606,0,50.1303,-1,4.35437,15,-999,999,42.891,-1,4.46271,15,-999,999,0.1,100,0.1,100,0.1,100,39.3868,243.571,5.48422e-08,0,-4.55449,NA,NA,117.6,186.169,NA,NA,NA,NA,NA,-55.6442,0,0,0.000839508,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D5-E991-F1-I11-cod",6,"B1","D5","E991","F1","I11","cod",3.98175e-05,"#V3.24O",0.0252777777777778,FALSE,"B1-D5-E991-F1-I11-cod-6"
"7",215250000,36.6158,592658000,0.108646301914426,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,46.43,-1,4.24,15,-999,999,38.68,-1,4.24,15,-999,999,0.1,100,0.1,100,0.1,100,21.6452,6150.37,1.41253e-06,0,-6.43775,NA,NA,2251.67,3845.31,NA,NA,NA,NA,NA,59.5782,0,0,0,0,0,195744000,44.4175,530499000,0.176734169150177,1,0.08,16.0267,50.5573,0.0905216,0.0100005,0.152097,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.69353,0.44,0.5,0,0,0,0,0,0,0,-0.443759,0,47.305,-1,4.58304,15,-999,999,37.7984,-1,4.19487,15,-999,999,0.1,100,0.1,100,0.1,100,21.7505,251.661,1.68749e-08,0,-0.952964,NA,NA,120.35,185.391,NA,NA,NA,NA,NA,-53.1279,0,0,0.000850149,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D5-E991-F1-I11-cod",7,"B1","D5","E991","F1","I11","cod",9.52468e-05,"#V3.24O",0.0222222222222222,FALSE,"B1-D5-E991-F1-I11-cod-7"
"8",215250000,36.6158,592658000,0.124211602644358,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,46.43,-1,4.24,15,-999,999,38.68,-1,4.24,15,-999,999,0.1,100,0.1,100,0.1,100,24.4617,6085.26,1.4769e-06,0,-6.43775,NA,NA,2246.85,3797.07,NA,NA,NA,NA,NA,47.5327,0,0,0,0,0,191018000,43.1967,526422000,0.108976828476014,0,0.08,9.22439,53.1129,0.0804003,0.333526,0.0995496,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.67204,0.44,0.5,0,0,0,0,0,0,0,0.115989,0,45.3914,-1,4.41335,15,-999,999,35.4709,-1,3.92935,15,-999,999,0.1,100,0.1,100,0.1,100,13.6717,225.48,2.21903e-08,0,-4.36823,NA,NA,114.645,169.051,NA,NA,NA,NA,NA,-53.8486,0,0,0.000946248,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D5-E991-F1-I11-cod",8,"B1","D5","E991","F1","I11","cod",5.80131e-05,"#V3.24O",0.0222222222222222,FALSE,"B1-D5-E991-F1-I11-cod-8"
"9",215250000,36.6158,592658000,0.111806640592045,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,46.43,-1,4.24,15,-999,999,38.68,-1,4.24,15,-999,999,0.1,100,0.1,100,0.1,100,21.5919,6041.66,1.14853e-06,0,-6.43775,NA,NA,2242.21,3755.07,NA,NA,NA,NA,NA,50.5648,0,0,0,0,0,147373000,39.3537,419037000,0.0846653159506201,0,0.08,14.1761,54.5677,0.0494669,0.265055,0.171778,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.73533,0.44,0.5,0,0,0,0,0,0,0,0.358837,0,48.7501,-1,4.36064,15,-999,999,39.8913,-1,4.42345,15,-999,999,0.1,100,0.1,100,0.1,100,9.75643,215.178,6.58333e-08,0,-4.2977,NA,NA,108.359,164.01,NA,NA,NA,NA,NA,-52.894,0,0,0.000840496,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D5-E991-F1-I11-cod",9,"B1","D5","E991","F1","I11","cod",5.1345e-06,"#V3.24O",0.0244444444444444,FALSE,"B1-D5-E991-F1-I11-cod-9"
"10",215250000,36.6158,592658000,0.0839811493306426,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,46.43,-1,4.24,15,-999,999,38.68,-1,4.24,15,-999,999,0.1,100,0.1,100,0.1,100,16.3568,5776.76,1.35423e-06,0,-6.43775,NA,NA,2230.15,3496.53,NA,NA,NA,NA,NA,56.2611,0,0,0,0,0,158705000,37.1996,444614000,0.0935670041879023,1,0.08,23.848,50.0564,0.0454598,0.0100001,0.39304,9.77e-06,3.17125,38.78,-0.437,137900,36500,1,1,1,1,5.61175,0.44,0.5,0,0,0,0,0,0,0,0.0706333,0,47.4127,-1,4.21978,15,-999,999,41.7677,-1,4.47474,15,-999,999,0.1,100,0.1,100,0.1,100,10.3976,260.476,6.49804e-08,0,-4.59692,NA,NA,138.116,177.606,NA,NA,NA,NA,NA,-50.6495,0,0,0.000858056,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D5-E991-F1-I11-cod",10,"B1","D5","E991","F1","I11","cod",1.70481e-05,"#V3.24O",0.0238888888888889,FALSE,"B1-D5-E991-F1-I11-cod-10"
