"species","data","variable","B0","B1","B11","B12","B13","B14","B2","B3","B4"
"cod","Rich:A+L","CV_old",-0.012,-0.013,-0.009,-0.001,0.025,0.135,-0.017,-0.01,-0.009
"cod","Rich:A+L","CV_young",0.003,0.003,0.005,0.031,0.062,0.098,0.001,-0.007,-0.022
"cod","Rich:A+L","L_at_Amax",0.002,0.003,0.002,-0.004,-0.009,-0.03,0.003,0.002,0.002
"cod","Rich:A+L","L_at_Amin",-0.001,-0.001,-0.004,-0.032,-0.096,-0.19,-0.001,-0.001,-0.002
"cod","Rich:A+L","VonBert_K",0,-0.002,0.001,0.023,0.051,0.124,-0.001,-0.002,0
"cod","Rich:C+L","CV_old",0,0,-0.018,-0.085,-0.146,-0.327,-0.001,0.028,0.005
"cod","Rich:C+L","CV_young",0,-0.003,-0.002,-0.022,-0.303,-0.69,-0.014,-0.089,-0.072
"cod","Rich:C+L","L_at_Amax",0,0,-0.001,-0.001,-0.008,0.048,0.001,-0.001,0.014
"cod","Rich:C+L","L_at_Amin",0,0.001,-0.002,-0.01,-0.121,0.274,0.008,0.014,0.109
"cod","Rich:C+L","VonBert_K",0,-0.001,0.014,0.054,0.165,0.055,-0.004,-0.001,-0.053
"cod","Poor:A+L","CV_old",-0.059,-0.058,-0.054,-0.047,-0.034,0.048,-0.066,-0.056,-0.023
"cod","Poor:A+L","CV_young",-0.026,-0.037,-0.035,-0.012,-0.091,0.195,-0.027,-0.09,-0.008
"cod","Poor:A+L","L_at_Amax",-0.004,-0.004,-0.004,-0.007,-0.02,-0.038,-0.001,-0.016,-0.002
"cod","Poor:A+L","L_at_Amin",-0.013,-0.011,-0.012,-0.043,-0.095,-0.246,-0.012,-0.045,-0.046
"cod","Poor:A+L","VonBert_K",0.007,0.012,0.014,0.039,0.079,0.164,0.019,0.052,0.041
"cod","Poor:C+L","CV_old",-0.002,-0.005,-0.019,-0.084,-0.137,-0.441,-0.01,0.016,-0.012
"cod","Poor:C+L","CV_young",0.005,0.002,-0.002,-0.038,-0.34,-0.452,-0.013,-0.079,-0.06
"cod","Poor:C+L","L_at_Amax",0,0.001,0,0.001,0,0.049,0,-0.001,0.007
"cod","Poor:C+L","L_at_Amin",-0.002,-0.003,-0.006,-0.017,-0.112,-0.121,-0.003,0.001,0.054
"cod","Poor:C+L","VonBert_K",-0.003,-0.004,0.01,0.049,0.145,0.121,-0.003,0.002,-0.026
"flatfish","Rich:A+L","CV_old",-0.006,-0.006,-0.006,-0.015,-0.014,0.017,-0.009,-0.015,-0.027
"flatfish","Rich:A+L","CV_young",-0.019,-0.013,-0.006,0.053,0.069,0.397,-0.015,0.005,0.009
"flatfish","Rich:A+L","L_at_Amax",0.004,0.004,0.004,0.001,-0.004,-0.03,0.005,0.008,0.011
"flatfish","Rich:A+L","L_at_Amin",0.008,0.006,-0.001,-0.057,-0.204,-0.523,0.009,0.011,0.001
