"species","data","variable","B0","B1","B11","B12","B13","B14","B2","B3","B4"
"cod","Rich:A+L","depletion",0.003,0.004,0.003,0.001,0.051,-0.019,0.007,0.008,0.008
"cod","Rich:A+L","SSB_MSY",0.017,0.017,0.017,0.013,0.071,-0.025,0.018,0.017,0.017
"cod","Rich:A+L","SSB_Unfished",0.018,0.018,0.017,0.014,0.072,-0.021,0.018,0.016,0.016
"cod","Rich:C+L","depletion",0.018,0.018,-0.01,-0.096,-0.235,-0.282,0.02,0.022,0.063
"cod","Rich:C+L","SSB_MSY",0.022,0.022,0.016,0.008,0.035,-0.013,0.023,0.025,0.046
"cod","Rich:C+L","SSB_Unfished",0.023,0.023,0.016,0.006,0.025,-0.005,0.023,0.025,0.043
"cod","Poor:A+L","depletion",-0.003,-0.001,-0.006,-0.022,-0.058,NA,-0.019,-0.006,0.027
"cod","Poor:A+L","SSB_MSY",0.099,0.101,0.098,0.099,0.086,0.036,0.103,0.1,0.089
"cod","Poor:A+L","SSB_Unfished",0.101,0.1,0.099,0.097,0.085,0.033,0.101,0.1,0.091
"cod","Poor:C+L","depletion",-0.046,-0.048,-0.077,-0.159,-0.269,NA,-0.05,-0.036,-0.021
"cod","Poor:C+L","SSB_MSY",0.101,0.101,0.092,0.084,0.081,0.072,0.101,0.101,0.114
"cod","Poor:C+L","SSB_Unfished",0.101,0.101,0.093,0.083,0.074,0.07,0.102,0.101,0.113
"flatfish","Rich:A+L","depletion",-0.003,-0.006,-0.006,-0.008,-0.032,0.023,-0.004,-0.004,-0.01
"flatfish","Rich:A+L","SSB_MSY",0.028,0.026,0.024,0.012,0.002,-0.042,0.025,0.027,0.026
"flatfish","Rich:A+L","SSB_Unfished",0.027,0.025,0.023,0.015,0.008,-0.064,0.026,0.031,0.024
"flatfish","Rich:C+L","depletion",-0.005,-0.003,-0.011,-0.054,-0.172,-0.378,0.011,0.039,0.007
"flatfish","Rich:C+L","SSB_MSY",0.021,0.024,0.036,0.098,0.226,0.373,0.036,0.051,0.127
"flatfish","Rich:C+L","SSB_Unfished",0.023,0.026,0.034,0.077,0.173,0.289,0.035,0.044,0.107
"flatfish","Poor:A+L","depletion",-0.079,-0.09,-0.086,-0.067,-0.14,-0.145,-0.073,-0.115,-0.027
"flatfish","Poor:A+L","SSB_MSY",0.372,0.371,0.367,0.356,0.381,0.3,0.378,0.36,0.332
"flatfish","Poor:A+L","SSB_Unfished",0.346,0.35,0.345,0.338,0.36,0.217,0.358,0.345,0.325
"flatfish","Poor:C+L","depletion",-0.065,-0.069,-0.082,-0.137,-0.293,-0.522,-0.041,-0.063,-0.068
"flatfish","Poor:C+L","SSB_MSY",0.282,0.285,0.298,0.376,0.493,0.595,0.3,0.316,0.359
"flatfish","Poor:C+L","SSB_Unfished",0.28,0.285,0.293,0.348,0.435,0.514,0.294,0.313,0.353
"yellow-long","Rich:A+L","depletion",-0.027,-0.027,-0.027,-0.025,-0.038,-0.15,-0.028,-0.029,-0.025
"yellow-long","Rich:A+L","SSB_MSY",0.058,0.058,0.059,0.065,0.028,-0.279,0.063,0.062,0.057
"yellow-long","Rich:A+L","SSB_Unfished",0.058,0.058,0.058,0.064,0.03,-0.279,0.062,0.061,0.055
"yellow-long","Rich:C+L","depletion",-0.014,-0.01,-0.037,-0.06,-0.195,-0.561,0.017,0.064,0.116
"yellow-long","Rich:C+L","SSB_MSY",0.061,0.068,0.06,0.1,0.127,0.031,0.101,0.152,0.346
"yellow-long","Rich:C+L","SSB_Unfished",0.062,0.069,0.059,0.092,0.107,0.034,0.1,0.148,0.337
"yellow-long","Poor:A+L","depletion",-0.077,-0.074,-0.091,-0.092,-0.08,-0.151,-0.084,-0.079,-0.073
"yellow-long","Poor:A+L","SSB_MSY",0.101,0.093,0.096,0.13,0.141,-0.098,0.145,0.105,0.041
"yellow-long","Poor:A+L","SSB_Unfished",0.107,0.099,0.098,0.124,0.144,-0.099,0.144,0.109,0.032
"yellow-long","Poor:C+L","depletion",-0.087,-0.086,-0.116,-0.15,-0.309,-0.601,-0.069,-0.05,-0.015
"yellow-long","Poor:C+L","SSB_MSY",0.181,0.183,0.18,0.226,0.245,0.166,0.195,0.213,0.268
"yellow-long","Poor:C+L","SSB_Unfished",0.179,0.184,0.177,0.219,0.226,0.168,0.197,0.217,0.264
