"species","data","B0","B1","B11","B12","B13","B14","B2","B3","B4"
"cod","Rich:A+L",100,86,59,41,39,32,78,78,75
"cod","Rich:C+L",100,67,51,24,17,15,42,32,29
"cod","Poor:A+L",100,93,67,51,51,60,93,93,100
"cod","Poor:C+L",100,90,71,54,54,62,83,77,81
"flatfish","Rich:A+L",100,92,68,55,48,68,85,85,88
"flatfish","Rich:C+L",100,70,58,44,62,NA,52,45,43
"flatfish","Poor:A+L",100,100,80,72,74,74,95,98,94
"flatfish","Poor:C+L",100,91,77,65,70,70,82,73,77
"yellow-long","Rich:A+L",100,95,78,60,57,76,93,94,101
"yellow-long","Rich:C+L",100,70,61,41,32,31,52,45,47
"yellow-long","Poor:A+L",100,100,81,70,79,103,100,107,114
"yellow-long","Poor:C+L",100,89,78,68,72,80,82,82,89
