"species","data","variable","B0","B1","B11","B12","B13","B14","B2","B3","B4"
"cod","Rich:A+L","Sel.1P.1.Fish",0.001,0,-0.001,-0.002,0.005,-0.009,0,0,0.004
"cod","Rich:A+L","Sel.1P.3.Fish",0,0,-0.001,0.002,0.014,0.021,0,-0.002,0.004
"cod","Rich:A+L","Sel.2P.1.Surv",-0.002,-0.002,0,-0.028,-0.057,-0.518,-0.002,-0.001,0.005
"cod","Rich:A+L","Sel.2P.3.Surv",-0.001,-0.001,0.003,-0.029,-0.032,-0.337,-0.001,-0.001,0.007
"cod","Rich:C+L","Sel.1P.1.Fish",0,-0.001,-0.011,-0.028,-0.186,0.056,0,0.023,0.097
"cod","Rich:C+L","Sel.1P.3.Fish",-0.001,-0.002,-0.011,-0.014,-0.133,0.091,0.003,0.03,0.132
"cod","Rich:C+L","Sel.2P.1.Surv",-0.003,-0.002,0.01,0.036,0.087,-0.519,0.003,0.005,0.151
"cod","Rich:C+L","Sel.2P.3.Surv",-0.003,-0.001,0.011,0.034,0.114,0.893,0.003,0.005,0.169
"cod","Poor:A+L","Sel.1P.1.Fish",-0.011,-0.013,-0.014,-0.022,-0.011,-0.079,-0.018,-0.04,-0.053
"cod","Poor:A+L","Sel.1P.3.Fish",-0.02,-0.018,-0.017,-0.019,-0.006,-0.018,-0.026,-0.046,-0.06
"cod","Poor:A+L","Sel.2P.1.Surv",-0.048,-0.044,-0.041,-0.052,-0.082,-0.519,-0.053,-0.088,-0.058
"cod","Poor:A+L","Sel.2P.3.Surv",-0.063,-0.053,-0.055,-0.087,0.041,1.561,-0.088,-0.149,-0.087
"cod","Poor:C+L","Sel.1P.1.Fish",-0.014,-0.008,-0.023,-0.053,-0.064,-0.039,-0.008,0.005,0.023
"cod","Poor:C+L","Sel.1P.3.Fish",-0.025,-0.024,-0.035,-0.057,-0.039,0.014,-0.02,-0.003,0.038
"cod","Poor:C+L","Sel.2P.1.Surv",-0.045,-0.04,-0.023,0.005,0.062,-0.518,-0.053,-0.068,-0.019
"cod","Poor:C+L","Sel.2P.3.Surv",-0.065,-0.049,-0.029,-0.029,0.088,1.5,-0.07,-0.089,0.004
"flatfish","Rich:A+L","Sel.1P.1.Fish",-0.002,-0.001,-0.001,0.003,0.012,0.109,-0.002,-0.004,-0.004
"flatfish","Rich:A+L","Sel.1P.3.Fish",-0.004,-0.003,0,0.015,0.051,0.163,-0.003,-0.003,-0.008
"flatfish","Rich:A+L","Sel.2P.1.Surv",0,0,0.001,0.001,0.03,0.041,0.001,-0.002,-0.002
"flatfish","Rich:A+L","Sel.2P.3.Surv",-0.002,-0.001,0.001,0.013,0.078,0.142,0,-0.002,-0.008
"flatfish","Rich:C+L","Sel.1P.1.Fish",-0.002,-0.002,-0.004,-0.006,-0.073,-0.046,-0.002,0.016,-0.061
"flatfish","Rich:C+L","Sel.1P.3.Fish",-0.002,-0.002,0,0.022,-0.017,0.1,-0.002,0.03,-0.053
"flatfish","Rich:C+L","Sel.2P.1.Surv",0,0.001,-0.008,-0.039,-0.019,-0.006,-0.002,-0.002,-0.103
"flatfish","Rich:C+L","Sel.2P.3.Surv",-0.001,0,-0.004,-0.022,0.03,0.099,-0.003,0.006,-0.139
"flatfish","Poor:A+L","Sel.1P.1.Fish",-0.001,0.002,0.002,-0.006,-0.028,0.087,-0.012,-0.025,-0.025
"flatfish","Poor:A+L","Sel.1P.3.Fish",-0.006,-0.008,-0.007,-0.002,-0.002,0.15,-0.021,-0.04,-0.06
"flatfish","Poor:A+L","Sel.2P.1.Surv",0.01,0.011,0.007,-0.003,-0.048,0.046,0,-0.024,-0.081
"flatfish","Poor:A+L","Sel.2P.3.Surv",-0.008,-0.01,-0.01,-0.005,-0.126,0.192,-0.019,-0.083,-0.165
"flatfish","Poor:C+L","Sel.1P.1.Fish",-0.003,-0.001,-0.006,-0.006,-0.057,-0.069,-0.006,-0.005,-0.028
