"","species","data","variable","binmatch","1","2","5","10","20"
"1","cod","Rich:A+L","CV_old","Match",4,4.1,4.5,5.7,5.7
"2","cod","Rich:A+L","CV_old","No Match",NA,4,4.4,5.3,13.5
"3","cod","Rich:A+L","CV_young","Match",1.5,1.6,1.9,7,15.5
"4","cod","Rich:A+L","CV_young","No Match",NA,1.6,3.1,8.6,19.1
"5","cod","Rich:A+L","depletion","Match",9.4,9.5,9.6,9.3,9.7
"6","cod","Rich:A+L","depletion","No Match",NA,9.4,9.3,5.1,8.7
"7","cod","Rich:A+L","L_at_Amax","Match",0.7,0.7,0.7,0.8,1
"8","cod","Rich:A+L","L_at_Amax","No Match",NA,0.7,0.7,1,3
"9","cod","Rich:A+L","L_at_Amin","Match",0.6,0.6,0.7,0.8,1.3
"10","cod","Rich:A+L","L_at_Amin","No Match",NA,0.6,3.2,9.6,19
"11","cod","Rich:A+L","SSB_MSY","Match",4.9,4.9,4.9,4.9,5
"12","cod","Rich:A+L","SSB_MSY","No Match",NA,4.9,4.9,7.1,4.5
"13","cod","Rich:A+L","VonBert_K","Match",1.2,1.2,1.3,1.6,2.2
"14","cod","Rich:A+L","VonBert_K","No Match",NA,1.2,2.3,5.1,12.4
"15","cod","Rich:C+L","CV_old","Match",1.2,1.1,1.1,2.8,2.1
"16","cod","Rich:C+L","CV_old","No Match",NA,1.8,8.5,14.6,32.7
"17","cod","Rich:C+L","CV_young","Match",1.1,1.1,1.6,8.9,7.2
"18","cod","Rich:C+L","CV_young","No Match",NA,1.1,2.2,30.3,69
"19","cod","Rich:C+L","depletion","Match",9.4,9.4,9.6,9.7,10.6
"20","cod","Rich:C+L","depletion","No Match",NA,9.3,11.2,23.5,28.2
"21","cod","Rich:C+L","L_at_Amax","Match",0.3,0.3,0.3,0.3,1.4
"22","cod","Rich:C+L","L_at_Amax","No Match",NA,0.3,0.3,0.8,4.8
"23","cod","Rich:C+L","L_at_Amin","Match",0.5,0.5,0.8,1.4,10.9
