"","species","data","variable","binmatch","1","2","5","10","20"
"1","cod","Rich:A+L","CV_old","Match",NA,-0.9,0.1,2.7,15.1
"2","cod","Rich:A+L","CV_old","No Match",-1.2,-1.2,-1.6,-0.9,-0.6
"3","cod","Rich:A+L","CV_young","Match",NA,0.4,3,6,10.5
"4","cod","Rich:A+L","CV_young","No Match",0.3,0.2,0.1,-0.8,-2.2
"5","cod","Rich:A+L","depletion","Match",NA,0.5,0.4,5.3,-0.6
"6","cod","Rich:A+L","depletion","No Match",0.6,0.5,0.9,0.9,1
"7","cod","Rich:A+L","L_at_Amax","Match",NA,0.2,-0.4,-1,-3
"8","cod","Rich:A+L","L_at_Amax","No Match",0.2,0.2,0.2,0.2,0.1
"9","cod","Rich:A+L","L_at_Amin","Match",NA,-0.4,-3.2,-9.6,-19.1
"10","cod","Rich:A+L","L_at_Amin","No Match",-0.1,-0.1,-0.1,-0.1,-0.2
"11","cod","Rich:A+L","SSB_MSY","Match",NA,0.6,0.2,5.8,-4
"12","cod","Rich:A+L","SSB_MSY","No Match",0.6,0.6,0.7,0.6,0.4
"13","cod","Rich:A+L","VonBert_K","Match",NA,0.2,2.3,5.2,12.8
"14","cod","Rich:A+L","VonBert_K","No Match",0,-0.1,-0.1,-0.2,0
"15","cod","Rich:C+L","CV_old","Match",NA,-1.8,-8.5,-14.6,-32.6
"16","cod","Rich:C+L","CV_old","No Match",0,0,-0.1,2.8,0.5
"17","cod","Rich:C+L","CV_young","Match",NA,-0.2,-2.2,-30.3,-69.4
"18","cod","Rich:C+L","CV_young","No Match",0,-0.3,-1.4,-8.9,-7.2
"19","cod","Rich:C+L","depletion","Match",NA,-1,-9.4,-23.2,-26.2
"20","cod","Rich:C+L","depletion","No Match",2.1,1.9,2,2.1,6.3
"21","cod","Rich:C+L","L_at_Amax","Match",NA,-0.1,-0.1,-0.8,4.2
"22","cod","Rich:C+L","L_at_Amax","No Match",0,0,0.1,-0.1,1.4
"23","cod","Rich:C+L","L_at_Amin","Match",NA,-0.2,-1,-12.1,25.4
"24","cod","Rich:C+L","L_at_Amin","No Match",0,0.1,0.8,1.4,10.9
"25","cod","Rich:C+L","SSB_MSY","Match",NA,0.3,-0.7,2.7,-1.6
"26","cod","Rich:C+L","SSB_MSY","No Match",0.7,0.9,0.9,1,3.2
"27","cod","Rich:C+L","VonBert_K","Match",NA,1.4,5.4,16.6,7
"28","cod","Rich:C+L","VonBert_K","No Match",0,-0.1,-0.4,-0.1,-5.3
"29","cod","Poor:A+L","CV_old","Match",NA,-4.6,-4.4,-1.4,0
"30","cod","Poor:A+L","CV_old","No Match",-5.9,-6,-6.5,-5.4,-1.3
"31","cod","Poor:A+L","CV_young","Match",NA,-3.4,-1.1,-9.1,7.7
"32","cod","Poor:A+L","CV_young","No Match",-2.7,-3.6,-2.1,-9.1,0.3
"33","cod","Poor:A+L","depletion","Match",NA,-0.4,-2,-5.3,-2.7
"34","cod","Poor:A+L","depletion","No Match",-0.7,0,-1.5,-0.2,2.7
"35","cod","Poor:A+L","L_at_Amax","Match",NA,-0.4,-0.7,-2.1,-3
"36","cod","Poor:A+L","L_at_Amax","No Match",-0.5,-0.4,-0.2,-1.3,-0.3
"37","cod","Poor:A+L","L_at_Amin","Match",NA,-1.2,-4.4,-10,-23.4
"38","cod","Poor:A+L","L_at_Amin","No Match",-1.3,-1.1,-1.3,-4.5,-5
"39","cod","Poor:A+L","SSB_MSY","Match",NA,0.1,0.2,-0.8,-4.1
"40","cod","Poor:A+L","SSB_MSY","No Match",0.1,0.1,0.5,0.1,-0.8
"41","cod","Poor:A+L","VonBert_K","Match",NA,1.3,4,8.1,16.1
"42","cod","Poor:A+L","VonBert_K","No Match",0.8,1.5,2.3,5.3,4.2
"43","cod","Poor:C+L","CV_old","Match",NA,-2,-8.7,-14.1,-43.4
"44","cod","Poor:C+L","CV_old","No Match",-0.2,-0.3,-1.1,1.7,-1.4
"45","cod","Poor:C+L","CV_young","Match",NA,-0.2,-3.8,-32.6,-45.4
"46","cod","Poor:C+L","CV_young","No Match",0.8,0.1,-1.4,-7.9,-6.1
"47","cod","Poor:C+L","depletion","Match",NA,-7.8,-14.6,-25.6,-38.3
"48","cod","Poor:C+L","depletion","No Match",-3.5,-4.7,-4,-2.5,0.3
"49","cod","Poor:C+L","L_at_Amax","Match",NA,0,0.1,-0.1,5.1
"50","cod","Poor:C+L","L_at_Amax","No Match",0,0.1,0,-0.1,0.7
"51","cod","Poor:C+L","L_at_Amin","Match",NA,-0.7,-1.5,-11.1,-10.5
"52","cod","Poor:C+L","L_at_Amin","No Match",-0.2,-0.3,-0.4,0.3,5.3
"53","cod","Poor:C+L","SSB_MSY","Match",NA,-0.4,-1,-1.1,-1.5
"54","cod","Poor:C+L","SSB_MSY","No Match",0.3,0,0.3,0.4,1.5
"55","cod","Poor:C+L","VonBert_K","Match",NA,1,4.7,14.3,11
"56","cod","Poor:C+L","VonBert_K","No Match",-0.3,-0.5,-0.3,0.2,-2.4
"57","flatfish","Rich:A+L","CV_old","Match",NA,-0.5,-1.2,-1.3,2.8
"58","flatfish","Rich:A+L","CV_old","No Match",-0.5,-0.4,-0.7,-1.3,-2.1
"59","flatfish","Rich:A+L","CV_young","Match",NA,-0.6,5.4,6.8,42.6
"60","flatfish","Rich:A+L","CV_young","No Match",-2,-1.2,-1.5,0.5,0.2
"61","flatfish","Rich:A+L","depletion","Match",NA,0.6,0.7,-1.7,5.1
"62","flatfish","Rich:A+L","depletion","No Match",1,0.6,1.1,1.3,0.8
"63","flatfish","Rich:A+L","L_at_Amax","Match",NA,0.3,0,-0.5,-3.3
"64","flatfish","Rich:A+L","L_at_Amax","No Match",0.3,0.4,0.4,0.7,0.9
"65","flatfish","Rich:A+L","L_at_Amin","Match",NA,-0.2,-5.8,-20.5,-53
"66","flatfish","Rich:A+L","L_at_Amin","No Match",0.8,0.6,0.8,0.9,0
"67","flatfish","Rich:A+L","SSB_MSY","Match",NA,0.6,-0.7,-1.7,-6
