"species","data","variable","robust=1e-10","robust=1e-05","robust=0.001","robust=0.01"
"cod","Rich; A+L","CV_old",-0.014,0.006,1.049,NA
"cod","Rich; A+L","CV_young",0.001,-0.008,-0.083,NA
"cod","Rich; A+L","L_at_Amax",0.001,0.004,0.247,NA
"cod","Rich; A+L","L_at_Amin",-0.001,0.003,0.031,NA
"cod","Rich; A+L","VonBert_K",-0.002,-0.01,-0.283,NA
"cod","Rich; C+L","CV_old",-0.001,0.005,0.105,NA
"cod","Rich; C+L","CV_young",-0.006,-0.009,-0.006,NA
"cod","Rich; C+L","L_at_Amax",-0.001,0.001,0.053,NA
"cod","Rich; C+L","L_at_Amin",-0.002,0.004,0.031,NA
"cod","Rich; C+L","VonBert_K",0.005,-0.004,-0.089,NA
"cod","Poor; A+L","CV_old",0.043,-0.067,0.682,-0.754
"cod","Poor; A+L","CV_young",-0.037,-0.01,-0.159,0.672
"cod","Poor; A+L","L_at_Amax",-0.013,-0.01,0.232,0.583
"cod","Poor; A+L","L_at_Amin",-0.026,-0.009,0.015,-0.263
"cod","Poor; A+L","VonBert_K",0.046,0.063,-0.238,-0.371
"cod","Poor; C+L","CV_old",0.009,0.032,0.035,0.078
"cod","Poor; C+L","CV_young",-0.022,-0.017,0.012,0.287
"cod","Poor; C+L","L_at_Amax",-0.007,-0.005,0.047,0.044
"cod","Poor; C+L","L_at_Amin",-0.006,-0.004,0.036,-0.032
"cod","Poor; C+L","VonBert_K",0.034,0.011,-0.1,-0.078
"flatfish","Rich; A+L","CV_old",-0.011,0.006,0.431,NA
"flatfish","Rich; A+L","CV_young",0.042,-0.019,-0.232,NA
"flatfish","Rich; A+L","L_at_Amax",0.004,-0.002,-0.01,NA
"flatfish","Rich; A+L","L_at_Amin",0.004,0.006,0.043,NA
"flatfish","Rich; A+L","VonBert_K",-0.018,0.009,-0.031,NA
"flatfish","Rich; C+L","CV_old",-0.009,-0.009,0.136,0.893
"flatfish","Rich; C+L","CV_young",-0.002,-0.007,-0.096,0.183
"flatfish","Rich; C+L","L_at_Amax",0.001,0.003,0.027,0.643
"flatfish","Rich; C+L","L_at_Amin",0.006,0.011,0.039,-0.025
"flatfish","Rich; C+L","VonBert_K",-0.004,0,-0.078,-0.579
"flatfish","Poor; A+L","CV_old",-0.314,-0.316,0.147,0.98
"flatfish","Poor; A+L","CV_young",-0.289,-0.029,-0.507,-0.533
"flatfish","Poor; A+L","L_at_Amax",0.097,0.161,0.163,0.816
"flatfish","Poor; A+L","L_at_Amin",0.077,0.147,0.158,0.079
"flatfish","Poor; A+L","VonBert_K",-0.144,-0.351,-0.286,-0.622
"flatfish","Poor; C+L","CV_old",0.005,-0.024,0.171,0.86
"flatfish","Poor; C+L","CV_young",-0.241,0.05,-0.207,0.096
"flatfish","Poor; C+L","L_at_Amax",0,-0.002,0.052,0.525
"flatfish","Poor; C+L","L_at_Amin",0.005,0.048,0.134,-0.019
"flatfish","Poor; C+L","VonBert_K",0.068,0.023,-0.161,-0.527
"yellow","Rich; A+L","CV_old",-0.063,0.038,0.958,NA
"yellow","Rich; A+L","CV_young",0.053,-0.01,-0.587,NA
"yellow","Rich; A+L","L_at_Amax",0.016,-0.002,-0.021,NA
"yellow","Rich; A+L","L_at_Amin",0.002,-0.001,0.096,NA
"yellow","Rich; A+L","VonBert_K",-0.029,0.008,-0.05,NA
"yellow","Rich; C+L","CV_old",-0.001,0.014,0.311,NA
"yellow","Rich; C+L","CV_young",-0.016,-0.041,-0.138,NA
"yellow","Rich; C+L","L_at_Amax",-0.001,0,0.039,NA
"yellow","Rich; C+L","L_at_Amin",0.013,0.019,0.063,NA
"yellow","Rich; C+L","VonBert_K",0.003,-0.012,-0.13,NA
"yellow","Poor; A+L","CV_old",-0.204,-0.117,0.471,-0.883
"yellow","Poor; A+L","CV_young",0.297,0.279,-0.056,2.686
"yellow","Poor; A+L","L_at_Amax",0.037,0.037,0.066,2.156
"yellow","Poor; A+L","L_at_Amin",0.002,-0.01,0.204,-0.419
"yellow","Poor; A+L","VonBert_K",-0.136,-0.134,-0.289,-0.814
"yellow","Poor; C+L","CV_old",-0.018,-0.003,0.376,NA
"yellow","Poor; C+L","CV_young",-0.139,-0.127,-0.107,NA
"yellow","Poor; C+L","L_at_Amax",0.016,-0.005,0.017,NA
"yellow","Poor; C+L","L_at_Amin",0.055,0.06,0.043,NA
"yellow","Poor; C+L","VonBert_K",-0.005,0.024,-0.096,NA
