"species","data","variable","robust=1e-10","robust=1e-05","robust=0.001","robust=0.01"
"cod","Rich; A+L","depletion",0.059,0.056,0.086,NA
"cod","Rich; A+L","SSB_MSY",0.02,0.033,0.178,NA
"cod","Rich; A+L","SSB_Unfished",0.021,0.033,0.156,NA
"cod","Rich; C+L","depletion",0.043,0.032,0.38,NA
"cod","Rich; C+L","SSB_MSY",0.017,0.024,0.17,NA
"cod","Rich; C+L","SSB_Unfished",0.018,0.024,0.164,NA
"cod","Poor; A+L","depletion",0.102,0.108,-0.059,0.78
"cod","Poor; A+L","SSB_MSY",0.095,0.104,0.236,1.51
"cod","Poor; A+L","SSB_Unfished",0.093,0.106,0.207,1.433
"cod","Poor; C+L","depletion",-0.016,0.084,0.219,0.987
"cod","Poor; C+L","SSB_MSY",0.1,0.105,0.202,0.659
"cod","Poor; C+L","SSB_Unfished",0.1,0.102,0.191,0.624
"flatfish","Rich; A+L","depletion",0.044,0.047,0.056,NA
"flatfish","Rich; A+L","SSB_MSY",0.025,0.034,0.005,NA
"flatfish","Rich; A+L","SSB_Unfished",0.023,0.033,-0.017,NA
"flatfish","Rich; C+L","depletion",0.116,0.024,0.186,1.66
"flatfish","Rich; C+L","SSB_MSY",0.033,0.048,0.157,2.689
"flatfish","Rich; C+L","SSB_Unfished",0.036,0.045,0.138,2.214
"flatfish","Poor; A+L","depletion",-0.021,-0.105,-0.101,0.76
"flatfish","Poor; A+L","SSB_MSY",0.417,0.485,0.68,2.694
"flatfish","Poor; A+L","SSB_Unfished",0.423,0.463,0.568,2.169
"flatfish","Poor; C+L","depletion",0.017,-0.001,0.315,0.956
"flatfish","Poor; C+L","SSB_MSY",0.299,0.297,0.394,2.254
"flatfish","Poor; C+L","SSB_Unfished",0.295,0.295,0.342,1.821
"yellow","Rich; A+L","depletion",0.032,0.018,0.241,NA
"yellow","Rich; A+L","SSB_MSY",0.013,-0.017,0.426,NA
"yellow","Rich; A+L","SSB_Unfished",0.011,-0.014,0.434,NA
"yellow","Rich; C+L","depletion",0.036,0.036,0.505,NA
"yellow","Rich; C+L","SSB_MSY",0.034,0.033,0.499,NA
"yellow","Rich; C+L","SSB_Unfished",0.034,0.032,0.506,NA
"yellow","Poor; A+L","depletion",0.178,0.155,0.151,1.295
"yellow","Poor; A+L","SSB_MSY",0.148,0.068,0.479,2518686.659
"yellow","Poor; A+L","SSB_Unfished",0.13,0.092,0.516,2523342.986
"yellow","Poor; C+L","depletion",-0.096,0.007,0.338,NA
"yellow","Poor; C+L","SSB_MSY",0.142,0.136,0.707,NA
"yellow","Poor; C+L","SSB_Unfished",0.148,0.135,0.71,NA
