"species","data","variable","robust=1e-10","robust=1e-05","robust=0.001","robust=0.01"
"cod","Rich; A+L","Sel.1P.1.Fish",-0.002,0.006,0.012,NA
"cod","Rich; A+L","Sel.1P.3.Fish",0,0.006,0.026,NA
"cod","Rich; A+L","Sel.2P.1.Surv",-0.007,-0.004,0.064,NA
"cod","Rich; A+L","Sel.2P.3.Surv",-0.012,-0.006,0.084,NA
"cod","Rich; C+L","Sel.1P.1.Fish",-0.005,0.001,0.032,NA
"cod","Rich; C+L","Sel.1P.3.Fish",-0.004,0.002,0.076,NA
"cod","Rich; C+L","Sel.2P.1.Surv",-0.002,-0.001,0.035,NA
"cod","Rich; C+L","Sel.2P.3.Surv",-0.007,-0.001,0.074,NA
"cod","Poor; A+L","Sel.1P.1.Fish",-0.008,-0.007,-0.034,-0.118
"cod","Poor; A+L","Sel.1P.3.Fish",-0.006,0.001,-0.043,-0.083
"cod","Poor; A+L","Sel.2P.1.Surv",-0.05,-0.071,-0.047,-0.11
"cod","Poor; A+L","Sel.2P.3.Surv",-0.11,-0.071,-0.047,0.332
"cod","Poor; C+L","Sel.1P.1.Fish",0.011,0.003,0.065,0.11
"cod","Poor; C+L","Sel.1P.3.Fish",0.028,0.005,0.128,0.322
"cod","Poor; C+L","Sel.2P.1.Surv",0.07,-0.013,0.017,0.122
"cod","Poor; C+L","Sel.2P.3.Surv",0.01,-0.063,0.013,0.803
"flatfish","Rich; A+L","Sel.1P.1.Fish",-0.005,-0.003,0.035,NA
"flatfish","Rich; A+L","Sel.1P.3.Fish",-0.006,-0.002,0.052,NA
"flatfish","Rich; A+L","Sel.2P.1.Surv",-0.001,-0.004,0.064,NA
"flatfish","Rich; A+L","Sel.2P.3.Surv",-0.008,0,0.065,NA
"flatfish","Rich; C+L","Sel.1P.1.Fish",-0.002,-0.003,0.022,0.048
"flatfish","Rich; C+L","Sel.1P.3.Fish",-0.003,-0.002,0.053,0.265
"flatfish","Rich; C+L","Sel.2P.1.Surv",-0.001,-0.005,0.029,0.077
"flatfish","Rich; C+L","Sel.2P.3.Surv",-0.004,-0.004,0.05,0.228
"flatfish","Poor; A+L","Sel.1P.1.Fish",-0.022,0,0.021,0.03
"flatfish","Poor; A+L","Sel.1P.3.Fish",-0.026,-0.008,-0.011,0.18
"flatfish","Poor; A+L","Sel.2P.1.Surv",0.021,0.024,0.056,0.174
"flatfish","Poor; A+L","Sel.2P.3.Surv",-0.013,-0.006,0.024,0.225
"flatfish","Poor; C+L","Sel.1P.1.Fish",-0.025,-0.012,0.008,0.063
"flatfish","Poor; C+L","Sel.1P.3.Fish",-0.01,-0.007,-0.017,0.304
"flatfish","Poor; C+L","Sel.2P.1.Surv",-0.032,-0.019,-0.095,0.017
"flatfish","Poor; C+L","Sel.2P.3.Surv",-0.081,-0.069,-0.132,0.195
"yellow","Rich; A+L","Sel.1P.1.Fish",-0.002,0,0.015,NA
"yellow","Rich; A+L","Sel.1P.3.Fish",0,0.002,0.028,NA
"yellow","Rich; A+L","Sel.2P.1.Surv",-0.003,0,0.052,NA
"yellow","Rich; A+L","Sel.2P.3.Surv",-0.008,0.003,0.058,NA
"yellow","Rich; C+L","Sel.1P.1.Fish",-0.002,0.002,0.005,NA
"yellow","Rich; C+L","Sel.1P.3.Fish",-0.002,0,0.022,NA
"yellow","Rich; C+L","Sel.2P.1.Surv",-0.003,0.011,0.043,NA
"yellow","Rich; C+L","Sel.2P.3.Surv",-0.006,0.011,0.063,NA
"yellow","Poor; A+L","Sel.1P.1.Fish",-0.004,0.026,-0.025,0.079
"yellow","Poor; A+L","Sel.1P.3.Fish",-0.011,-0.005,-0.047,0.239
"yellow","Poor; A+L","Sel.2P.1.Surv",-0.042,-0.041,0.018,0.185
"yellow","Poor; A+L","Sel.2P.3.Surv",-0.093,-0.168,0.011,0.349
"yellow","Poor; C+L","Sel.1P.1.Fish",0.007,0.017,-0.01,NA
"yellow","Poor; C+L","Sel.1P.3.Fish",0.011,0.018,0.017,NA
"yellow","Poor; C+L","Sel.2P.1.Surv",-0.019,-0.03,0.035,NA
"yellow","Poor; C+L","Sel.2P.3.Surv",-0.011,-0.007,0.066,NA
