"species","data","variable","tcomp=-1","tcomp=0.001","tcomp=0.01","tcomp=0.1"
"cod","Rich; A+L","CV_old",-0.014,0.111,0.107,0.047
"cod","Rich; A+L","CV_young",0.001,-0.024,-0.024,-0.013
"cod","Rich; A+L","L_at_Amax",0.001,-0.003,-0.004,0.012
"cod","Rich; A+L","L_at_Amin",-0.001,-0.002,0.004,0.023
"cod","Rich; A+L","VonBert_K",-0.002,0.002,0.003,-0.032
"cod","Rich; C+L","CV_old",-0.001,0.293,0.306,NA
"cod","Rich; C+L","CV_young",-0.006,-0.068,-0.085,NA
"cod","Rich; C+L","L_at_Amax",-0.001,-0.041,-0.039,NA
"cod","Rich; C+L","L_at_Amin",-0.002,-0.02,-0.018,NA
"cod","Rich; C+L","VonBert_K",0.005,0.089,0.085,NA
"cod","Poor; A+L","CV_old",0.043,0.697,0.788,1.036
"cod","Poor; A+L","CV_young",-0.037,-0.296,-0.203,-0.637
"cod","Poor; A+L","L_at_Amax",-0.013,-0.01,0.006,0.113
"cod","Poor; A+L","L_at_Amin",-0.026,-0.035,0.002,0.105
"cod","Poor; A+L","VonBert_K",0.046,0.03,-0.041,-0.238
"cod","Poor; C+L","CV_old",0.009,0.302,0.265,NA
"cod","Poor; C+L","CV_young",-0.022,-0.122,-0.167,NA
"cod","Poor; C+L","L_at_Amax",-0.007,0.001,0.008,NA
"cod","Poor; C+L","L_at_Amin",-0.006,0.006,0.019,NA
"cod","Poor; C+L","VonBert_K",0.034,0.005,-0.002,NA
"flatfish","Rich; A+L","CV_old",-0.011,0.054,0.058,0.064
"flatfish","Rich; A+L","CV_young",0.042,0.01,-0.05,-0.199
"flatfish","Rich; A+L","L_at_Amax",0.004,-0.011,-0.016,-0.007
"flatfish","Rich; A+L","L_at_Amin",0.004,0.005,0.011,0.019
"flatfish","Rich; A+L","VonBert_K",-0.018,0.018,0.03,0.022
"flatfish","Rich; C+L","CV_old",-0.009,0.051,0.056,NA
"flatfish","Rich; C+L","CV_young",-0.002,-0.019,-0.037,NA
"flatfish","Rich; C+L","L_at_Amax",0.001,-0.033,-0.035,NA
"flatfish","Rich; C+L","L_at_Amin",0.006,-0.001,-0.003,NA
"flatfish","Rich; C+L","VonBert_K",-0.004,0.108,0.121,NA
"flatfish","Poor; A+L","CV_old",-0.314,0.256,0.486,0.256
"flatfish","Poor; A+L","CV_young",-0.289,-0.484,-0.523,-0.705
"flatfish","Poor; A+L","L_at_Amax",0.097,0.079,0.042,0.157
"flatfish","Poor; A+L","L_at_Amin",0.077,0.276,0.216,0.271
"flatfish","Poor; A+L","VonBert_K",-0.144,-0.27,-0.223,-0.264
"flatfish","Poor; C+L","CV_old",0.005,0.323,0.424,NA
"flatfish","Poor; C+L","CV_young",-0.241,-0.492,-0.557,NA
"flatfish","Poor; C+L","L_at_Amax",0,-0.104,-0.119,NA
"flatfish","Poor; C+L","L_at_Amin",0.005,0.164,0.217,NA
"flatfish","Poor; C+L","VonBert_K",0.068,0.258,0.378,NA
"yellow","Rich; A+L","CV_old",-0.063,0.062,0.056,0.12
"yellow","Rich; A+L","CV_young",0.053,-0.127,-0.188,-0.163
"yellow","Rich; A+L","L_at_Amax",0.016,0.006,0.014,-0.007
"yellow","Rich; A+L","L_at_Amin",0.002,0.035,0.048,0.015
"yellow","Rich; A+L","VonBert_K",-0.029,-0.027,-0.048,0.012
"yellow","Rich; C+L","CV_old",-0.001,0.087,0.082,-0.058
"yellow","Rich; C+L","CV_young",-0.016,0.063,0.066,0.429
"yellow","Rich; C+L","L_at_Amax",-0.001,-0.035,-0.033,-0.077
"yellow","Rich; C+L","L_at_Amin",0.013,0.008,0.008,-0.232
"yellow","Rich; C+L","VonBert_K",0.003,0.066,0.07,0.329
"yellow","Poor; A+L","CV_old",-0.204,0.466,0.466,1.067
"yellow","Poor; A+L","CV_young",0.297,-0.779,-0.779,-0.141
"yellow","Poor; A+L","L_at_Amax",0.037,0.06,0.06,-0.03
"yellow","Poor; A+L","L_at_Amin",0.002,0.237,0.237,0.186
"yellow","Poor; A+L","VonBert_K",-0.136,-0.192,-0.192,-0.216
"yellow","Poor; C+L","CV_old",-0.018,0.745,0.745,0.523
"yellow","Poor; C+L","CV_young",-0.139,0.304,0.304,0.502
"yellow","Poor; C+L","L_at_Amax",0.016,-0.159,-0.159,-0.188
"yellow","Poor; C+L","L_at_Amin",0.055,0.196,0.196,-0.104
"yellow","Poor; C+L","VonBert_K",-0.005,0.239,0.239,0.57
