"species","data","variable","tcomp=-1","tcomp=0.001","tcomp=0.01","tcomp=0.1"
"cod","Rich; A+L","depletion",0.059,0.069,0.065,0.052
"cod","Rich; A+L","SSB_MSY",0.02,0.021,0.032,0.051
"cod","Rich; A+L","SSB_Unfished",0.021,0.022,0.032,0.049
"cod","Rich; C+L","depletion",0.043,0.199,0.205,NA
"cod","Rich; C+L","SSB_MSY",0.017,0.056,0.056,NA
"cod","Rich; C+L","SSB_Unfished",0.018,0.058,0.058,NA
"cod","Poor; A+L","depletion",0.102,0.305,0.316,0.345
"cod","Poor; A+L","SSB_MSY",0.095,0.118,0.149,0.238
"cod","Poor; A+L","SSB_Unfished",0.093,0.115,0.141,0.218
"cod","Poor; C+L","depletion",-0.016,0.102,0.129,NA
"cod","Poor; C+L","SSB_MSY",0.1,0.134,0.149,NA
"cod","Poor; C+L","SSB_Unfished",0.1,0.129,0.142,NA
"flatfish","Rich; A+L","depletion",0.044,0.053,0.076,0.067
"flatfish","Rich; A+L","SSB_MSY",0.025,0.007,-0.001,0.031
"flatfish","Rich; A+L","SSB_Unfished",0.023,0.006,0.004,0.026
"flatfish","Rich; C+L","depletion",0.116,0.202,0.211,NA
"flatfish","Rich; C+L","SSB_MSY",0.033,0.093,0.062,NA
"flatfish","Rich; C+L","SSB_Unfished",0.036,0.099,0.062,NA
"flatfish","Poor; A+L","depletion",-0.021,-0.098,-0.05,0.179
"flatfish","Poor; A+L","SSB_MSY",0.417,0.464,0.299,0.654
"flatfish","Poor; A+L","SSB_Unfished",0.423,0.414,0.279,0.565
"flatfish","Poor; C+L","depletion",0.017,0.782,0.815,NA
"flatfish","Poor; C+L","SSB_MSY",0.299,0.258,0.223,NA
"flatfish","Poor; C+L","SSB_Unfished",0.295,0.246,0.209,NA
"yellow","Rich; A+L","depletion",0.032,0.027,0.046,0.049
"yellow","Rich; A+L","SSB_MSY",0.013,0.021,0.035,0.028
"yellow","Rich; A+L","SSB_Unfished",0.011,0.022,0.036,0.028
"yellow","Rich; C+L","depletion",0.036,0.374,0.384,0.619
"yellow","Rich; C+L","SSB_MSY",0.034,0.248,0.256,0.311
"yellow","Rich; C+L","SSB_Unfished",0.034,0.249,0.259,0.306
"yellow","Poor; A+L","depletion",0.178,-0.033,-0.033,0.229
"yellow","Poor; A+L","SSB_MSY",0.148,0.415,0.415,0.41
"yellow","Poor; A+L","SSB_Unfished",0.13,0.414,0.414,0.434
"yellow","Poor; C+L","depletion",-0.096,1.204,1.204,1.157
"yellow","Poor; C+L","SSB_MSY",0.142,5.871,5.871,11.952
"yellow","Poor; C+L","SSB_Unfished",0.148,6.012,6.012,11.845
