"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","D","E","F","species","year","ID"
"1",4082630000,136460000,0,4526640000,147386000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",1,"D100-E0-F1-cod-1"
"2",4082630000,131215000,0,4526640000,147004000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",2,"D100-E0-F1-cod-1"
"3",4083830000,138507000,0,4526740000,146629000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",3,"D100-E0-F1-cod-1"
"4",4086850000,127675000,0,4.527e+09,146262000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",4,"D100-E0-F1-cod-1"
"5",4090550000,125737000,0,4527060000,145903000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",5,"D100-E0-F1-cod-1"
"6",4095610000,122997000,0,4526640000,145551000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",6,"D100-E0-F1-cod-1"
"7",4094990000,128855000,0,4525490000,145208000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",7,"D100-E0-F1-cod-1"
"8",4087700000,141253000,0,4523460000,144872000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",8,"D100-E0-F1-cod-1"
"9",4074800000,134450000,0,4520480000,144546000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",9,"D100-E0-F1-cod-1"
"10",4064470000,134834000,0,4516540000,144231000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",10,"D100-E0-F1-cod-1"
"11",4062050000,122711000,0,4511700000,143931000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",11,"D100-E0-F1-cod-1"
"12",4063610000,138481000,0,4506060000,143647000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",12,"D100-E0-F1-cod-1"
"13",4065530000,131582000,0,4499710000,143384000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",13,"D100-E0-F1-cod-1"
"14",4064880000,130692000,0,4492800000,143148000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",14,"D100-E0-F1-cod-1"
"15",4068060000,137982000,0,4485430000,142944000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",15,"D100-E0-F1-cod-1"
"16",4069990000,134937000,0,4477740000,142781000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",16,"D100-E0-F1-cod-1"
"17",4072790000,147839000,0,4469860000,142671000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",17,"D100-E0-F1-cod-1"
"18",4079150000,132239000,0,4461920000,142629000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",18,"D100-E0-F1-cod-1"
"19",4090350000,140367000,0,4454070000,142677000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",19,"D100-E0-F1-cod-1"
"20",4108030000,121477000,0,4446450000,142841000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",20,"D100-E0-F1-cod-1"
"21",4124290000,120381000,0,4439240000,143156000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",21,"D100-E0-F1-cod-1"
"22",4137670000,130175000,0,4432640000,143664000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",22,"D100-E0-F1-cod-1"
"23",4136780000,141646000,0,4426920000,144411000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",23,"D100-E0-F1-cod-1"
"24",4125850000,126448000,0,4422380000,145460000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",24,"D100-E0-F1-cod-1"
"25",4115210000,124036000,0,4419410000,146851000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",25,"D100-E0-F1-cod-1"
"26",4108090000,125801000,0,4418510000,125813000,0,"D100-E0-F1-cod",1,"D100","E0","F1","cod",26,"D100-E0-F1-cod-1"
"27",4096590000,137460000,0.005,4420270000,123450000,0.00462847,"D100-E0-F1-cod",1,"D100","E0","F1","cod",27,"D100-E0-F1-cod-1"
"28",4061540000,137578000,0.01,4398820000,149109000,0.00922223,"D100-E0-F1-cod",1,"D100","E0","F1","cod",28,"D100-E0-F1-cod-1"
"29",4009030000,129614000,0.014,4343460000,139488000,0.0129277,"D100-E0-F1-cod",1,"D100","E0","F1","cod",29,"D100-E0-F1-cod-1"
"30",3951410000,120869000,0.019,4268770000,161072000,0.0176169,"D100-E0-F1-cod",1,"D100","E0","F1","cod",30,"D100-E0-F1-cod-1"
"31",3883750000,125578000,0.024,4185760000,121575000,0.0222984,"D100-E0-F1-cod",1,"D100","E0","F1","cod",31,"D100-E0-F1-cod-1"
"32",3801020000,132734000,0.029,4098120000,150357000,0.0268882,"D100-E0-F1-cod",1,"D100","E0","F1","cod",32,"D100-E0-F1-cod-1"
"33",3702360000,128691000,0.034,4009220000,114240000,0.0313419,"D100-E0-F1-cod",1,"D100","E0","F1","cod",33,"D100-E0-F1-cod-1"
